Name,Gender,Institution,Category,Subcategory,h-index,Year
Samuel Hazen,Male,University of Massachussetts Amherst,University,Other,34,2011
Chris Hirata,Male,California Institute of Technology,University,Private,N/A,2011
Yongqin Jiao,Unknown,Lawrence Livermore National Laboratory,National Lab,,29,2011
Anantharaman Kalyanaraman,Unknown,Washington State University,University,Other,26,2011
James Kneller,Male,North Carolina State University,University,Other,27,2011
Suzanne Lapi,Female,Washington University,University,Other,37,2011
Minhyea Lee,Unknown,University of Colorado,University,Other,23,2011
Peter Lindstrom,Male,Lawrence Livermore National Laboratory,National Lab,,41,2011
Rene Lopez,Male,University of North Carolina,University,Other,40,2011
Matthew Marshall,Male,Pacific Northwest National Laboratory,National Lab,,26,2011
Daniel Melconian,Male,Texas A&M University,University,Other,N/A,2011
Peter Mueller,Male,Argonne National Laboratory,National Lab,,85,2011
Alberto Nicolis,Male,Columbia University,University,Ivy League,N/A,2011
Christoph Niemann,Male,"University of California, Los Angeles",University,State/Public,33,2011
Jonathan Owen,Male,Columbia University,University,Ivy League,62,2011
Ryan Patterson,Male,California Institute of Technology,University,Private,4,2011
Thomas Prolier,Male,Argonne National Laboratory,National Lab,,N/A,2011
Tatiana Prozorov,Female,Ames Laboratory,Unknown,,32,2011
Sofia Quaglioni,Female,Lawrence Livermore National Laboratory,National Lab,,36,2011
Alexander Romanenko,Male,Fermi National Accelerator Laboratory,National Lab,,37,2011
David Savage,Male,"University of California, Berkeley",University,State/Public,41,2011
Eric Schelter,Male,University of Pennsylvania,University,Ivy League,54,2011
Xipeng Shen,Unknown,College of William and Mary,University,Other,40,2011
Daniel Sinars,Male,Sandia National Laboratories,National Lab,,5,2011
Anze Slosar,Unknown,Brookhaven National Laboratory,National Lab,,89,2011
Alexandre Tartakovsky,Male,Pacific Northwest National Laboratory,National Lab,,46,2011
Alexis Templeton,Male,University of Colorado,University,Other,42,2011
Jesse Thaler,Male,Massachusetts Institute of Technology,University,Private,76,2011
Susannah Tringe,Female,Lawrence Berkeley National Laboratory,National Lab,,92,2011
Ezekial Unterberg,Unknown,Oak Ridge National Laboratory,National Lab,,32,2011
Anastasia Volovich,Female,Brown University,University,Ivy League,50,2011
Francesco Volpe,Male,University of Wisconsin,University,Other,27,2011
Faya Wang,Unknown,SLAC National Acceleratory Laboratory,Unknown,,9,2011
Anne White,Female,Massachusetts Institute of Technology,University,Private,56,2011
Zhigang Wu,Unknown,Colorado School of Mines,Unknown,,46,2011
Junqiao Wu,Unknown,"University of California, Berkeley",University,State/Public,94,2011
Jinlong Zhang,Unknown,Argonne National Laboratory,National Lab,,119,2011
Pengpeng Zhang,Unknown,Michigan State University,University,Other,22,2011
Haimei Zheng,Unknown,Lawrence Berkeley National Laboratory,National Lab,,70,2011
Kirstin Alberi,Female,National Renewable Energy Laboratory,National Lab,,20,2012
John Asbury,Male,Pennsylvania State University,University,Other,12,2012
Pavan Balaji,Unknown,Argonne National Laboratory,National Lab,,47,2012
Jesse Berezovsky,Male,Case Western Reserve University,University,Other,21,2012
Theodore Betley,Male,Harvard University,University,Ivy League,45,2012
Aditya Bhan,Male,University of Minnesota,University,State/Public,56,2012
Kristen Buchanan,Female,Colorado State University,University,Other,22,2012
Gianpaolo Carosi,Male,Lawrence Livermore National Laboratory,National Lab,,N/A,2012
Brendan Casey,Male,Fermi National Accelerator Laboratory,National Lab,,35,2012
Hank Childs,Male,Lawrence Berkeley National Laboratory,National Lab,,66,2012
Amy Clarke,Female,Los Alamos National Laboratory,National Lab,,38,2012
Nicolas Commaux,Male,Oak Ridge National Laboratory,National Lab,,N/A,2012
Silviu Covrig,Male,Thomas Jefferson National Accelerator Facility,National Lab,,N/A,2012
Christopher Crawford,Male,University of Kentucky,University,Other,35,2012
Aleksandar Donev,Male,New York University,University,Private,48,2012
Gary Douberly,Male,University of Georgia,University,Other,33,2012
Xiangfeng Duan,Unknown,"University of California, Los Angeles",University,State/Public,154,2012
Huaiyu Duan,Unknown,University of New Mexico,University,Other,31,2012
John Dueber,Male,"University of California, Berkeley",University,State/Public,36,2012
Mattan Erez,Unknown,University of Texas,University,Other,43,2012
Rouven Essig,Male,Stony Brook University,University,Other,N/A,2012
Joshua Figueroa,Male,"University of California, San Diego",University,State/Public,N/A,2012
Charles Folden III,Male,Texas A&M University,University,Other,30,2012
Oliver Gessner,Male,Lawrence Berkeley National Laboratory,National Lab,,36,2012
Daniel Gianola,Male,University of Pennsylvania,University,Ivy League,81,2012
Sean Hartnoll,Male,Stanford University,University,Private,56,2012
Daniel Hayes,Male,Oak Ridge National Laboratory,National Lab,,148,2012
Anne Jones,Female,Arizona State University,University,Other,62,2012
Rohit Karnik,Unknown,Massachusetts Institute of Technology,University,Private,60,2012
Daniel Kasen,Male,"University of California, Berkeley",University,State/Public,88,2012
Andreas Kemp,Male,Lawrence Livermore National Laboratory,National Lab,,37,2012
Svetlana Kilina,Female,North Dakota State University,University,Other,45,2012
Matthias Kling,Male,Kansas State University,University,Other,63,2012
Lu Li,Unknown,University of Michigan,University,State/Public,99,2012
Rachel Mandelbaum,Female,Carnegie Mellon University,University,Other,N/A,2012
Jaime Marian,Male,Lawrence Livermore National Laboratory,National Lab,,46,2012
James McKinlay,Male,Indiana University,University,Other,29,2012
Nikhil Padmanabhan,Male,Yale University,University,Ivy League,82,2012
Steven Pain,Male,Oak Ridge National Laboratory,National Lab,,75,2012
Felix Parra Diaz,Male,Massachusetts Institute of Technology,University,Private,N/A,2012
Samuel Payne,Male,Pacific Northwest National Laboratory,National Lab,,47,2012
Jennifer Reed,Female,University of Wisconsin,University,Other,32,2012
Paul Romatschke,Male,University of Colorado,University,Other,45,2012
Volker Rose,Male,Argonne National Laboratory,National Lab,,32,2012
Ozgur Sahin,Unknown,Columbia University,University,Ivy League,34,2012
Tina Salguero,Female,University of Georgia,University,Other,37,2012
Leonardo Senatore,Male,Stanford University,University,Private,N/A,2012
Tengming Shen,Unknown,Fermi National Accelerator Laboratory,National Lab,,23,2012
Pavel Snopok,Male,Illinois Institute of Technology,Unknown,,35,2012
Santiago Solares,Male,University of Maryland,University,Other,34,2012
Garrett Suen,Male,University of Wisconsin,University,Other,52,2012
Mitra Taheri,Female,Drexel University,University,Other,48,2012
Ivan Vitev,Male,Los Alamos National Laboratory,National Lab,,65,2012
Haim Waisman,Male,Columbia University,University,Ivy League,41,2012
Lisa Whitehead,Female,University of Houston,University,Other,42,2012
Richard Wilson,Male,Argonne National Laboratory,National Lab,,223,2012
Kevin Wilson,Male,Lawrence Berkeley National Laboratory,National Lab,,64,2012
Weida Wu,Unknown,Rutgers University,University,Other,38,2012
Dao Xiang,Female,University of Washington,University,State/Public,15,2012
Xiaodong Xu,Unknown,University of Washington,University,State/Public,108,2012
Ming Ye,Unknown,Florida State University,University,Other,58,2012
Jamey Young,Male,Vanderbilt University,University,Other,67,2012
Victor Zavala,Male,Argonne National Laboratory,National Lab,,46,2012
Junjie Zhu,Unknown,University of Michigan,University,State/Public,13,2012
Joshua Zide,Male,University of Delaware,University,Other,36,2012
Thomas Bligaard,Male,SLAC National Accelerator Laboratory,National Lab,,69,2013
Adam S. Bolton,Male,University of Utah,University,Other,N/A,2013
Cheng Cen,Unknown,West Virginia University,University,Other,83,2013
Clarence L. Chang,Male,Argonne National Laboratory,National Lab,,5,2013
Clifford W. Cheung,Male,California Institute of Technology,University,Private,N/A,2013
Sigrid Close,Female,Stanford University,University,Private,30,2013
Heather D. Coleman,Female,Syracuse University,University,Other,N/A,2013
Valentino R. Cooper,Male,Oak Ridge National Laboratory,National Lab,,44,2013
Frank E. Curtis,Male,Lehigh University,University,Other,31,2013
Richard Dawes,Male,Missouri University of Science and Technology,University,Other,37,2013
William Detmold,Male,Massachusetts Institute of Technology,University,Private,58,2013
Jason A. Detwiler,Male,University of Washington,University,State/Public,56,2013
Ahmed Diallo,Male,Princeton Plasma Physics Laboratory,National Lab,,41,2013
Daniel B. Dougherty,Male,North Carolina State University,University,Other,N/A,2013
Krzysztof J. Fidkowski,Male,University of Michigan,University,State/Public,N/A,2013
Felix R. Fischer,Male,"University of California, Berkeley",University,State/Public,40,2013
Liang Fu,Unknown,Massachusetts Institute of Technology,University,Private,101,2013
Etienne Garand,Male,University of Wisconsin‐Madision,University,Other,27,2013
Emanuel Gull,Male,University of Michigan,University,State/Public,56,2013
Ruilan Guo,Unknown,University of Notre Dame,University,Other,34,2013
Gaute Hagen,Male,Oak Ridge National Laboratory,National Lab,,59,2013
Daniel J. Haxton,Male,Lawrence Berkeley National Laboratory,National Lab,,N/A,2013
Jason P. Hayward,Male,The University of Tennessee,University,Other,15,2013
Alexander Hexemer,Male,Lawrence Berkeley National Laboratory,National Lab,,N/A,2013
Stefan Hoeche,Male,SLAC National Accelerator Laboratory,National Lab,,61,2013
Andrew G. Ivanov,Male,Kansas State University,University,Other,N/A,2013
Marian Jandel,Male,Los Alamos National Laboratory,National Lab,,31,2013
Matthew C. Jewell,Male,University of Wisconsin‐Eau Claire,University,Other,N/A,2013
Sriram Krishnamoorthy,Unknown,Pacific Northwest National Laboratory,National Lab,,57,2013
Milind Kulkarni,Unknown,Purdue University,University,Other,36,2013
Keji Lai,Unknown,University of Texas at Austin,University,State/Public,44,2013
Dominique Loque,Unknown,University of Hawaii,University,Other,N/A,2013
Jelena Maricic,Female,University of Hawaii,University,Other,60,2013
Benjamin J. McMorran,Male,University of Oregon,University,Other,23,2013
William E. Mustain,Male,University of Connecticut,University,Other,53,2013
Rebecca B. Neumann,Female,University of Washington,University,State/Public,23,2013
Michelle A. O'Malley,Female,"University of California, Santa Barbara",University,Other,37,2013
Gabriel D. Orebi Gann,Male,"University of California, Berkeley",University,State/Public,N/A,2013
Toyoko Jennifer Orimoto,Female,Northeastern University,University,Other,N/A,2013
Johnpierre Paglione,Unknown,University of Maryland,University,Other,63,2013
George Shu Heng Pau,Male,Lawrence Berkeley National Laboratory,National Lab,,20,2013
Brian F. Pfleger,Male,University of Wisconsin‐Madision,University,Other,44,2013
Yuan Ping,Unknown,Lawrence Livermore National Laboratory,National Lab,,94,2013
Brian A. Powell,Male,Clemson University,University,Other,N/A,2013
Danilo C. Pozzo,Male,University of Washington,University,State/Public,N/A,2013
Ashwin Ramasubramaniam,Unknown,"University of Massachusetts, Amherst",University,Other,37,2013
Lijuan Ruan,Unknown,Brookhaven National Laboratory,National Lab,,N/A,2013
Matthias R. Schindler,Male,University of South Carolina,University,Other,N/A,2013
Jonathan Simon,Male,University of Chicago,University,Private,64,2013
Sara E. Skrabalak,Female,Indiana University,University,Other,N/A,2013
Ivan I. Smalyukh,Male,University of Colorado,University,Other,70,2013
Xiaowei Teng,Unknown,University of New Hampshire,University,Other,36,2013
Megan C. Thielges,Female,Indiana University,University,Other,N/A,2013
William A. Tisdale,Male,Massachusetts Institute of Technology,University,Private,45,2013
Andrew J. Tolley,Male,Case Western Reserve University,University,Other,3,2013
Nathan M. Urban,Male,Los Alamos National Laboratory,National Lab,,24,2013
Katherine A. Willets,Female,University of Texas at Austin,University,State/Public,39,2013
Michael Williams,Male,Massachusetts Institute of Technology,University,Private,89,2013
Juhao Wu,Unknown,SLAC National Accelerator Laboratory,National Lab,,N/A,2013
Setthivoine You,Unknown,University of Washington,University,State/Public,14,2013
Dominika Zgid,Female,University of Michigan,University,State/Public,32,2013
Rebecca J. Abergel,Female,Lawrence Berkeley National Laboratory,National Lab,,N/A,2014
Geoffrey S.D. Beach,Male,Massachusetts Institute of Technology,University,Private,N/A,2014
Jenifer C. Braley,Female,Colorado School of Mines,Unknown,,N/A,2014
Antoine J. Cerfon,Male,New York University,University,Private,N/A,2014
Emil M. Constantinescu,Male,Argonne National Laboratory,National Lab,,N/A,2014
Carl Eric Dahl,Male,Northwestern University,University,Private,N/A,2014
Mark P.M. Dean,Male,Brookhaven National Laboratory,National Lab,,36,2014
Olivier A. Delaire,Male,Oak Ridge National Laboratory,National Lab,,N/A,2014
Rafael M. Fernandes,Male,University of Minnesota,University,State/Public,60,2014
Daniele Filippetto,Female,Lawrence Berkeley National Laboratory,National Lab,,28,2014
Gregory D. Fuchs,Male,Cornell University,University,Ivy League,39,2014
Todd Gamblin,Male,Lawrence Livermore National Laboratory,National Lab,,37,2014
Shambhu Ghimire,Unknown,SLAC National Accelerator Laboratory,National Lab,,37,2014
Lars C. Grabow,Male,University of Houston,University,Other,42,2014
Peter W. Graham,Male,Stanford University,University,Private,N/A,2014
Anna Grassellino,Female,Fermi National Accelerator Laboratory,National Lab,,35,2014
Brian A. Grierson,Male,Princeton Plasma Physics Laboratory,National Lab,,N/A,2014
Stephanie B. Hansen,Female,"Sandia National Laboratories, New Mexico",National Lab,,49,2014
James Hirschauer,Male,Fermi National Accelerator Laboratory,National Lab,,241,2014
Nadine Kabengi,Female,Georgia State University,University,Other,21,2014
Lisa J. Kaufman,Female,Indiana University,University,Other,N/A,2014
Wei Li,Unknown,William Marsh Rice University,University,Private,218,2014
Stephanie A. Majewski,Female,University of Oregon,University,Other,N/A,2014
Ni Ni,Unknown,"University of California, Los Angeles",University,State/Public,99,2014
Trent R. Northen,Male,Lawrence Berkeley National Laboratory,National Lab,,64,2014
Shyue Ping Ong,Unknown,"University of California, San Diego",University,State/Public,88,2014
Mike S. Pritchard,Male,"University of California, Irvine",University,Other,33,2014
Xin Qian,Unknown,Brookhaven National Laboratory,National Lab,,75,2014
Joel C. Rowland,Male,Los Alamos National Laboratory,National Lab,,N/A,2014
Florin Rusu,Male,"University of California, Merced",University,Other,24,2014
Bjoern P. Schenke,Unknown,Brookhaven National Laboratory,National Lab,,N/A,2014
Guglielmo Scovazzi,Male,Duke University,University,Private,32,2014
Nathaniel P. Stern,Male,Northwestern University,University,Private,N/A,2014
Jenny Y. Yang,Female,"University of California, Irvine",University,Other,43,2014
James G. Analytis,Male,"University of California, Berkeley",University,State/Public,67,2015
Lawrence R. Baker,Male,Ohio State University,University,State/Public,N/A,2015
Phillip S. Barbeau,Male,Duke University,University,Private,N/A,2015
Ilenia Battiato,Female,San Diego State University,University,Other,26,2015
Nathaniel J. Craig,Male,"University of California, Santa Barbara",University,Other,15,2015
Catherine M. Deibel,Female,Louisiana State University,University,Other,34,2015
Christian Engelmann,Male,Oak Ridge National Laboratory,National Lab,,34,2015
Eranda Nikolla,Female,Wayne State University,University,Other,31,2015
Tori Z. Forbes,Female,University of Iowa,University,Other,28,2015
Jeffrey G. Gardner,Male,University of Maryland Baltimore County,University,Other,19,2015
Pierre Gentine,Male,Columbia University,University,Ivy League,72,2015
Krzysztof Gofryk,Male,Idaho National Laboratory,National Lab,,32,2015
Erik M. Grumstrup,Male,Montana State University,University,Other,N/A,2015
Thomas Hartman,Male,Cornell University,University,Ivy League,44,2015
Cory D. Hauck,Male,Oak Ridge National Laboratory,National Lab,,N/A,2015
David J. Heldebrant,Male,Pacific Northwest National Laboratory,National Lab,,42,2015
Matthew E. Helgeson,Male,"University of California, Santa Barbara",University,Other,N/A,2015
Henry C. Hoffmann,Male,University of Chicago,University,Private,N/A,2015
Anubhav Jain,Unknown,Lawrence Berkeley National Laboratory,National Lab,,69,2015
Rebekka S. Klausen,Female,Johns Hopkins University,University,Private,24,2015
Christopher J. Kliewer,Male,Sandia National Laboratories,National Lab,,27,2015
Alexey Kovalev,Male,University of Nebraska,University,Other,53,2015
Kyle M. Lancaster,Female,Cornell University,University,Ivy League,39,2015
Christopher Lee,Male,Los Alamos National Laboratory,National Lab,,72,2015
Dongsheng Li,Unknown,Pacific Northwest National Laboratory,National Lab,,105,2015
Kin Fai Mak,Unknown,Pennsylvania State University,University,Other,74,2015
Lorenzo Mangolini,Male,"University of California, Riverside",University,Other,33,2015
Jeetain Mittal,Unknown,Lehigh University,University,Other,61,2015
Katharine Page,Female,Oak Ridge National Laboratory,National Lab,,52,2015
Chad M. Parish,Male,Oak Ridge National Laboratory,National Lab,,43,2015
Andrew Puckett,Male,University of Connecticut,University,Other,48,2015
Jonathan D. Raff,Male,Indiana University,University,Other,N/A,2015
Timothy J. Rupert,Male,"University of California, Irvine",University,Other,36,2015
Anne Sakdinawat,Female,SLAC National Accelerator Laboratory,National Lab,,N/A,2015
Elizabeth S. Sattely,Female,Stanford University,University,Private,N/A,2015
Jordan R. Schmidt,Male,University of Wisconsin‐Madison,University,Other,N/A,2015
Oliver Schmitz,Male,University of Wisconsin‐Madison,University,Other,127,2015
Daniel P. Shoemaker,Male,University of Illinois,University,Other,24,2015
Tracy R. Slatyer,Female,Massachusetts Institute of Technology,University,Private,N/A,2015
Patricia Solvignon,Female,University of New Hampshire,University,Other,N/A,2015
Yogesh Surendranath,Male,Massachusetts Institute of Technology,University,Private,58,2015
Jing Tao,Unknown,Brookhaven National Laboratory,National Lab,,43,2015
Daniela M. Ushizima,Female,Lawrence Berkeley National Laboratory,National Lab,,N/A,2015
Brent A. VanDevender,Male,Pacific Northwest National Laboratory,National Lab,,N/A,2015
Justin R. Walensky,Male,University of Missouri,University,Other,32,2015
Jonathan Weare,Male,University of Chicago,University,Private,22,2015
Peter Winter,Male,Argonne National Laboratory,National Lab,,15,2015
Yunyan Zhang,Unknown,Lawrence Livermore National Laboratory,National Lab,,24,2015
Thomas K. Allison,Male,Stony Brook University,University,Other,24,2016
Jessica M. Anna,Female,University of Pennsylvania,University,Ivy League,N/A,2016
Scott D. Baalrud,Male,University of Iowa,University,Other,N/A,2016
Peter J. Bruggeman,Male,University of Minnesota,University,State/Public,N/A,2016
Alvin Cheung,Male,University of Washington,University,State/Public,36,2016
Jim Ciston,Male,Lawrence Berkeley National Laboratory,National Lab,,45,2016
Sean M. Couch,Male,Michigan State University,University,Other,N/A,2016
Daniela F. Cusack,Female,"University of California, Los Angeles",University,State/Public,N/A,2016
Yingge Du,Unknown,Pacific Northwest National Laboratory,National Lab,,47,2016
Jonathan W. Engle,Male,Los Alamos National Laboratory,National Lab,,53,2016
Grigory V. Eremeev,Male,Thomas Jefferson National Accelerator Facility,National Lab,,N/A,2016
Francesco A. Evangelista,Male,Emory University,University,Private,N/A,2016
Rebecca Flint,Female,Iowa State University,University,Other,15,2016
Alison R. Fout,Female,University of Illinois,University,Other,30,2016
Jacklyn M. Gates,Female,Lawrence Berkeley National Laboratory,National Lab,,N/A,2016
Kristian A. Hahn,Male,Northwestern University,University,Private,N/A,2016
Kirsten S. Hofmockel,Female,Pacific Northwest National Laboratory,National Lab,,N/A,2016
Xia Hong,Unknown,University of Nebraska,University,Other,63,2016
Travis S. Humble,Male,Oak Ridge National Laboratory,National Lab,,N/A,2016
Yier Jin,Unknown,University of Central Florida,University,Other,54,2016
Robert D. Kolasinski,Male,Sandia National Laboratories,National Lab,,N/A,2016
Egemen Kolemen,Male,Princeton University,University,Ivy League,35,2016
Jessica A. Krogstad,Female,University of Illinois,University,Other,17,2016
Amber T. Krummel,Female,Colorado State University,University,Other,N/A,2016
Christoph Lehner,Male,Brookhaven National Laboratory,National Lab,,31,2016
Melanie A. Mayes,Female,Oak Ridge National Laboratory,National Lab,,39,2016
Karis J. McFarlane,Female,Lawrence Livermore National Laboratory,National Lab,,20,2016
Chad Mitchell,Male,Lawrence Berkeley National Laboratory,National Lab,,N/A,2016
James J. Moran,Male,Pacific Northwest National Laboratory,National Lab,,80,2016
Wellington Muchero,Unknown,Oak Ridge National Laboratory,National Lab,,N/A,2016
Michael L. Neidig,Male,University of Rochester,University,Other,N/A,2016
Jamie R. Neilson,Female,Colorado State University,University,Other,N/A,2016
Katja C. Nowack,Female,Cornell University,University,Ivy League,N/A,2016
Kabir G. Peay,Male,Stanford University,University,Private,N/A,2016
Sam Posen,Male,Fermi National Accelerator Laboratory,National Lab,,30,2016
Jennifer L. Raaf,Female,Fermi National Accelerator Laboratory,National Lab,,N/A,2016
Devesh Ranjan,Male,Georgia Institute of Technology,Unknown,,31,2016
Matthew Redshaw,Male,Central Michigan University,University,Other,20,2016
Eduardo Rozo,Male,University of Arizona,University,Other,6,2016
Rebecca Schulman,Female,The Johns Hopkins University,University,Private,29,2016
Ian D. Sharp,Male,Lawrence Berkeley National Laboratory,National Lab,,56,2016
John B. Shaw,Male,University of Arkansas,University,Other,N/A,2016
Adele C. Tamboli,Female,National Renewable Energy Laboratory,National Lab,,N/A,2016
Jeroen van Tilborg,Male,Lawrence Berkeley National Laboratory,National Lab,,N/A,2016
Clayton G. Webster,Male,Oak Ridge National Laboratory,National Lab,,N/A,2016
Haidan Wen,Unknown,Argonne National Laboratory,National Lab,,35,2016
Christopher Wrede,Male,Michigan State University,University,Other,32,2016
Zeeshan Ahmed,Male,SLAC National Accelerator Laboratory,National Lab,,47,2017
Jared M. Allred,Male,The University of Alabama,University,Other,21,2017
Nicholas J. Bouskill,Male,Lawrence Berkeley National Laboratory (LBNL),National Lab,,N/A,2017
Kelly A. Chipps,Female,Oak Ridge National Laboratory (ORNL),National Lab,,N/A,2017
Brian A. Collins,Male,Washington State University,University,Other,27,2017
Steven C. DeCaluwe,Male,Colorado School of Mines,Unknown,,N/A,2017
Naresh Devineni,Male,The City College of New York,University,Other,30,2017
Matthew R. Dietrich,Male,Argonne National Laboratory (ANL),National Lab,,15,2017
Qiang Du,Unknown,Lawrence Berkeley National Laboratory (LBNL),National Lab,,81,2017
Jiwen Fan,Unknown,Pacific Northwest National Laboratory (PNNL),National Lab,,56,2017
Frederico Fiuza,Male,SLAC National Accelerator Laboratory,National Lab,,38,2017
David J. Flannigan,Male,University of Minnesota,University,State/Public,33,2017
Renee R. Frontiera,Female,University of Minnesota,University,State/Public,31,2017
Kenneth R. Graham,Male,University of Kentucky,University,Other,N/A,2017
David L. Green,Male,Oak Ridge National Laboratory (ORNL),National Lab,,32,2017
Heiko Hergert,Male,Michigan State University,University,Other,35,2017
Alexander I. Himmel,Male,Fermi National Accelerator Laboratory (FNAL),National Lab,,N/A,2017
Amy E. Hixon,Female,University of Notre Dame,University,Other,15,2017
Benjamin Hooberman,Male,University of Illinois,University,Other,259,2017
Benjamin M. Hunt,Male,Carnegie Mellon University,University,Other,17,2017
Josh Kacher,Male,Georgia Institute of Technology,Unknown,,24,2017
Mariam Kiran,Female,Lawrence Berkeley National Laboratory (LBNL),National Lab,,23,2017
Charles D. Koven,Male,Lawrence Berkeley National Laboratory (LBNL),National Lab,,N/A,2017
Stephanie Law,Female,University Of Delaware,University,Other,25,2017
Lin Lin,Female,"University of California, Berkeley",University,State/Public,324,2017
Brian K. Long,Male,The University of Tennessee,University,Other,29,2017
Richard L. Longland,Male,North Carolina State University,University,Other,N/A,2017
Kenneth Lopata,Male,Louisiana State University and A&M College,University,Other,25,2017
Marilena LoVerde,Female,SUNY Stony Brook University,University,Other,37,2017
Steven O. Mansoorabadi,Male,Auburn University,University,Other,N/A,2017
Julia M. Mikhailova,Female,Princeton University,University,Ivy League,N/A,2017
Emilio A. Nanni,Male,SLAC National Accelerator Laboratory,National Lab,,N/A,2017
Eric W. Neuscamman,Male,"University of California, Berkeley",University,State/Public,N/A,2017
James Ostrowski,Male,The University of Tennessee,University,Other,48,2017
Dennis V. Perepelitsa,Male,University of Colorado,University,Other,216,2017
Tom Peterka,Male,Argonne National Laboratory (ANL),National Lab,,40,2017
Neeraj Rai,Male,Mississippi State University,University,Other,26,2017
Ted C. Rogers,Male,Old Dominion University,University,Other,28,2017
Tiark Rompf,Unknown,Purdue University,University,Other,37,2017
Michael D. Schneider,Male,Lawrence Livermore National Laboratory (LLNL),National Lab,,23,2017
Adam B. Sefkow,Male,University of Rochester,University,Other,35,2017
Sanjaya D. Senanayake,Unknown,Brookhaven National Laboratory (BNL),National Lab,,70,2017
Hannah S. Shafaat,Female,The Ohio State University,University,State/Public,N/A,2017
Sahar Sharifzadeh,Female,Boston University,University,Other,25,2017
Jessie F. Shelton,Female,University of Illinois,University,Other,N/A,2017
Siqian Shen,Unknown,University of Michigan,University,State/Public,26,2017
Justin Stevens,Male,The College of William and Mary,University,Other,58,2017
Jin Suntivich,Female,Cornell University,University,Ivy League,39,2017
Jason R. Trelewicz,Male,SUNY Stony Brook University,University,Other,22,2017
Juan P. Trelles,Male,University of Massachusetts Lowell,University,Other,26,2017
Alessandro Tricoli,Male,Brookhaven National Laboratory (BNL),National Lab,,N/A,2017
Anja von der Linden,Female,SUNY Stony Brook University,University,Other,N/A,2017
Thomas Z. Ward,Male,Oak Ridge National Laboratory (ORNL),National Lab,,42,2017
David J. Weston,Male,Oak Ridge National Laboratory (ORNL),National Lab,,100,2017
Timothy M. Wildey,Male,"Sandia National Laboratories, New Mexico (SNL‐NM)",National Lab,,N/A,2017
Kelly C. Wrighton,Female,The Ohio State University,University,State/Public,51,2017
Chao Zhang,Unknown,Brookhaven National Laboratory,National Lab,,165,2017
Jeramy D. Zimmerman,Male,Colorado School of Mines,Unknown,,36,2017
Assel Aitkaliyeva,Female,University of Florida,University,State/Public,17,2018
Daniel Amador-Noguez,Male,University of Wisconsin-Madison,University,State/Public,37,2018
Artur Apresyan,Male,Fermi National Accelerator Laboratory (FNAL),National Lab,,N/A,2018
Shane Ardo,Male,"University of California, Irvine",University,Other,38,2018
Prasanna Balaprakash,Unknown,Argonne National Laboratory (ANL),National Lab,,37,2018
Elizabeth J. Biddinger,Female,The City College of New York,University,Other,26,2018
Valentina Bisogni,Female,Brookhaven National Laboratory (BNL),National Lab,,30,2018
James Blakemore,Male,University of Kansas,University,Other,33,2018
Daniel Bowring,Male,Fermi National Accelerator Laboratory (FNAL),National Lab,,N/A,2018
Nanette Boyle,Female,Colorado School of Mines,Unknown,,14,2018
Raul Briceno,Male,Old Dominion University,University,Other,35,2018
Susannah Burrows,Female,Pacific Northwest National Laboratory (PNNL),National Lab,,33,2018
Huibo Cao,Unknown,Oak Ridge National Laboratory (ORNL),National Lab,,50,2018
Ethan J. Crumlin,Male,Lawrence Berkeley National Laboratory (LBNL),National Lab,,61,2018
Eric C. Cyr,Male,Sandia National Laboratories (SNL-NM),National Lab,,20,2018
Cesar da Silva,Male,Los Alamos National Laboratory (LANL),National Lab,,37,2018
Karen Davies,Female,Lawrence Berkeley National Laboratory (LBNL),National Lab,,91,2018
Nathalie de Leon,Female,Princeton University,University,Ivy League,36,2018
Luiz De Viveiros Souza Filho,Unknown,Pennsylvania State University,University,Other,N/A,2018
Jared Delcamp,Male,University of Mississippi,University,Other,43,2018
David Donovan,Male,The University of Tennessee,University,Other,13,2018
Benjamin Doughty,Male,Oak Ridge National Laboratory (ORNL),National Lab,,24,2018
Daniel A. Dwyer,Male,Lawrence Berkeley National Laboratory (LBNL),National Lab,,N/A,2018
Thomas Faulkner,Male,University of Illinois,University,Other,33,2018
Nathaniel M. Ferraro,Male,Princeton Plasma Physics Laboratory (PPPL),National Lab,,N/A,2018
Stefano Gandolfi,Male,Los Alamos National Laboratory (LANL),National Lab,,53,2018
Tais Gorkhover,Unknown,SLAC National Accelerator Laboratory,National Lab,,28,2018
Alexander Gray,Male,Temple University,University,Other,39,2018
Kentaro Hara,Male,Texas A&M University,University,Other,N/A,2018
Naruki Hiranuma,Unknown,West Texas A&M University,University,Other,19,2018
Kolby Jardine,Male,Lawrence Berkeley National Laboratory (LBNL),National Lab,,31,2018
Zhang Jiang,Unknown,Argonne National Laboratory (ANL),National Lab,,43,2018
Michael Kagan,Male,SLAC National Accelerator Laboratory,National Lab,,210,2018
Liqin Ke,Unknown,Ames Laboratory,Unknown,,28,2018
Karah E. Knope,Unknown,Georgetown University,University,Other,25,2018
Samuel Aaron Lazerson,Male,Princeton Plasma Physics Laboratory (PPPL),National Lab,,34,2018
Alexie Leauthaud-Harnett,Female,"University of California, Santa Cruz",University,Other,N/A,2018
Joshua Levine,Male,The University of Arizona,University,Other,66,2018
Bolin Liao,Unknown,"University of California, Santa Barbara",University,Other,29,2018
