Name,Gender,Institution,Category,Subcategory,h-index,Year
Jae Chul Kim,Unknown,Stevens Institute of Technology,Unknown,,26,2022
Anders Knospe,Male,Lehigh University,University,Other,N/A,2022
Boopathy Kombaiah,Unknown,Idaho National Laboratory,National Lab,,17,2022
Noah Kurinsky,Male,SLAC National Laboratory,Unknown,,32,2022
Aeriel D.M. Leonard,Unknown,The Ohio State University,University,State/Public,N/A,2022
Yuzhang Li,Unknown,"University of California, Los Angeles",University,State/Public,48,2022
Chong Liu,Unknown,The University of Chicago,University,Private,86,2022
Lu Lu,Unknown,University of Pennsylvania,University,Ivy League,228,2022
Xiao Luo,Unknown,"University of California, Santa Barbara",University,Other,46,2022
Devin Matthews,Male,Southern Methodist University,University,Other,37,2022
Matteo Mitrano,Male,Harvard University,University,Ivy League,23,2022
Christopher Monahan,Male,William & Mary,Unknown,,18,2022
Atieh Moridi,Unknown,Cornell University,University,Ivy League,21,2022
Andrew Mounce,Male,Sandia National Laboratories,National Lab,,15,2022
Benjamin Nachman,Male,Lawrence Berkeley National Laboratory,National Lab,,197,2022
Aditya G. Nair,Male,"University of Nevada, Reno",University,Other,12,2022
Lisa Olshansky,Female,"University of Illinois, Urbana-Champaign",University,Other,9,2022
Guido Pagano,Male,Rice University,University,Private,25,2022
Chenyun Pan,Unknown,The University of Texas at Arlington,University,Other,15,2022
Pietro Papa Lopes,Male,Argonne National Laboratory,National Lab,,34,2022
Natalie Paquette,Female,University of Washington,University,State/Public,1,2022
Geoffrey Penington,Male,"University of California, Berkeley",University,State/Public,36,2022
Denisia Popolan-Vaida,Female,University of Central Florida,University,Other,20,2022
Timothy Proctor,Male,Sandia National Laboratories,National Lab,,21,2022
Matt Pyle,Male,University of California Berkeley,University,Other,N/A,2022
Krupa Ramasesha,Unknown,Sandia National Laboratories,National Lab,,18,2022
Michael Reppert,Male,Purdue University,University,Other,21,2022
Grant M. Rotskoff,Male,Stanford University,University,Private,25,2022
Michael Schulz,Male,Virginia Polytechnic Institute and State University,University,Other,92,2022
Lorenzo Sironi,Male,Columbia University,University,Ivy League,50,2022
Elizabeth Sooby,Female,University of Texas at San Antonio,University,Other,15,2022
Kelsey A. Stoerzinger,Female,Oregon State University,University,Other,43,2022
Daniel Stolper,Male,"University of California, Berkeley",University,State/Public,28,2022
Brian Summa,Male,Tulane University,University,Other,14,2022
Zhaowen Tang,Unknown,Los Alamos National Laboratory,National Lab,,16,2022
Marlene Turner,Female,Lawrence Berkeley National Laboratory,National Lab,,N/A,2022
Jorge A. Villa,Male,University of Louisiana at Lafayette,University,Other,14,2022
Bess Vlaisavljevich,Female,University of South Dakota,University,Other,32,2022
Yao Wang,Unknown,Clemson University,University,Other,82,2022
Marissa L. Weichman,Female,Princeton University,University,Ivy League,N/A,2022
Antoine Wojdyla,Male,Lawrence Berkeley National,Unknown,,12,2022
Shuolong Yang,Unknown,The University of Chicago,University,Private,19,2022
Mimi C. Yung,Female,Lawrence Livermore National Laboratory,National Lab,,12,2022
Michael Zaletel,Male,"University of California, Berkeley",University,State/Public,51,2022
Zhiyang Zhai,Unknown,Brookhaven National Laboratory,National Lab,,16,2022
Xiao-Xiao Zhang,Unknown,University of Florida,University,State/Public,10,2022
Guannan Zhang,Unknown,Oak Ridge National Laboratory,National Lab,,21,2022
You Zhou,Unknown,University of Maryland,University,Other,142,2022
Yuanyuan Zhu,Unknown,University of Connecticut,University,Other,20,2022
Aleksandr V. Zhukhovitskiy,Male,University of North Carolina at Chapel Hill,University,State/Public,N/A,2022
Gina C. Adam,Female,The George Washington University,University,Other,16,2024
Whitney Armstrong,Male,Argonne National Laboratory,National Lab,,N/A,2024
Miguel Arratia,Male,"University of California, Riverside",University,Other,18,2024
Sayan Biswas,Unknown,University of Minnesota,University,State/Public,13,2024
Steven J Blazewicz,Male,Lawrence Livermore National Laboratory,National Lab,,27,2024
David Cesar,Male,SLAC National Accelerator Laboratory,National Lab,,22,2024
Matthew B. Chambers,Male,Louisiana State University,University,Other,16,2024
Nathaniel Chaney,Male,Duke University,University,Private,25,2024
Xiaoqian Chen,Unknown,Brookhaven National Laboratory,National Lab,,24,2024
Tyler Cocker,Male,Michigan State University,University,Other,20,2024
Stacy M. Copp,Female,"University of California, Irvine",University,Other,N/A,2024
Gavin Cornwell,Male,Pacific Northwest National Laboratory,National Lab,,13,2024
Sneha P. Couvillion,Female,Pacific Northwest National Laboratory,National Lab,,17,2024
Jacob Covey,Male,University of Illinois Urbana-Champaign,University,Other,24,2024
Anil Damle,Male,Cornell University,University,Ivy League,15,2024
Nelson Dzade,Male,Pennsylvania State University,University,Other,35,2024
Gilberto Fernandes Lopes Fabbris,Male,Argonne National Laboratory,National Lab,,N/A,2024
Gianluca Geraci,Male,SLAC National Accelerator Laboratory,National Lab,,17,2024
Julia Gonski,Female,SLAC National Accelerator Laboratory,National Lab,,160,2024
Eduardo Higino da Silva Neto,Male,Yale University,University,Ivy League,N/A,2024
Alisa Javadi,Female,University of Oklahoma,University,Other,21,2024
Dafei Jin,Unknown,University of Notre Dame,University,Other,22,2024
Carlee Joe-Wong,Female,Carnegie Mellon University,University,Other,33,2024
Austin Joyce,Male,University of Chicago,University,Private,32,2024
Alvine Kamaha,Female,"University of California, Los Angeles (UCLA)",University,State/Public,18,2024
Shaina Kelly,Female,Columbia University,University,Ivy League,13,2024
Itamar Kimchi,Male,Georgia Institute of Technology,Unknown,,28,2024
Lydia Kisley,Female,Case Western Reserve University,University,Other,20,2024
Marek Kolmer,Male,Ames National Laboratory,National Lab,,22,2024
Stephen Lam,Male,University of Massachusetts Lowell,University,Other,15,2024
Amanda Lietz,Female,North Carolina State University,University,Other,13,2024
Fang Liu,Unknown,Emory University,University,Private,131,2024
Shusen Liu,Unknown,Lawrence Livermore National Laboratory,National Lab,,19,2024
Whitney Loo,Male,University of Wisconsin-Madison,University,State/Public,23,2024
Matthew Loyd,Male,Oak Ridge National Laboratory,National Lab,,34,2024
Yunqiu Kelly Luo,Unknown,University of Southern California,University,Private,12,2024
David Martinez Caicedo,Male,South Dakota School of Mines and Technology,Unknown,,N/A,2024
Liane M. Moreau,Female,Washington State University,University,Other,N/A,2024
Ian Moult,Male,Yale University,University,Ivy League,N/A,2024
Lukas Muechler,Male,Penn State University,University,Other,29,2024
Andy Nguyen,Male,"Elise Novitski, Assistant Professor",Unknown,,17,2024
Kevin Pedro,Male,Fermi National Accelerator Laboratory,National Lab,,35,2024
Bo Peng,Male,Pacific Northwest National Laboratory,National Lab,,27,2024
