Name,Gender,h-index,Institution,Category,Subcategory,Zipcode,Program Area,Year
Gavin Cornwell,Male,14,Pacific Northwest National Laboratory,National Lab,,99354,Basic Energy Sciences,2024
Sneha P. Couvillion,Female,17,Pacific Northwest National Laboratory,National Lab,,99354,Biological and Environmental Research,2024
Jacob Covey,Male,25,University of Illinois Urbana-Champaign,University,Other,80101,Biological and Environmental Research,2024
Anil Damle,Male,16,Cornell University,University,Ivy League,14853,Nuclear Physics,2024
Nelson Dzade,Male,36,Pennsylvania State University,University,Other,16802,Advanced Scientific Computing Research,2024
Gilberto Fernandes Lopes Fabbris,Male,N/A,Argonne National Laboratory,National Lab,,60439,Basic Energy Sciences,2024
Gianluca Geraci,Male,17,SLAC National Accelerator Laboratory,National Lab,,94025,Fusion Energy Sciences,2024
Julia Gonski,Female,162,SLAC National Accelerator Laboratory,National Lab,,94025,Advanced Scientific Computing Research,2024
Eduardo Higino da Silva Neto,Male,N/A,Yale University,University,Ivy League,06520,High Energy Physics,2024
Alisa Javadi,Female,22,University of Oklahoma,University,Other,73019,High Energy Physics,2024
Dafei Jin,Unknown,23,University of Notre Dame,University,Other,46556,Basic Energy Sciences,2024
Carlee Joe-Wong,Female,34,Carnegie Mellon University,University,Other,15213,Basic Energy Sciences,2024
Austin Joyce,Male,33,University of Chicago,University,Private,60637,Advanced Scientific Computing Research,2024
Alvine Kamaha,Female,18,"University of California, Los Angeles (UCLA)",University,State/Public,90095,High Energy Physics,2024
Shaina Kelly,Female,13,Columbia University,University,Ivy League,10027,High Energy Physics,2024
Itamar Kimchi,Male,28,Georgia Institute of Technology,Unknown,,30332,Nuclear Physics,2024
Lydia Kisley,Female,20,Case Western Reserve University,University,Other,44106,Basic Energy Sciences,2024
Marek Kolmer,Male,22,Ames National Laboratory,National Lab,,50011,Basic Energy Sciences,2024
Stephen Lam,Male,16,University of Massachusetts Lowell,University,Other,01854,Nuclear Physics,2024
Amanda Lietz,Female,13,North Carolina State University,University,Other,27607,Fusion Energy Sciences,2024
Fang Liu,Unknown,133,Emory University,University,Private,30322,Fusion Energy Sciences,2024
Shusen Liu,Unknown,19,Lawrence Livermore National Laboratory,National Lab,,94550,Basic Energy Sciences,2024
Whitney Loo,Male,23,University of Wisconsin-Madison,University,State/Public,53706,Advanced Scientific Computing Research,2024
Matthew Loyd,Male,34,Oak Ridge National Laboratory,National Lab,,37830,Basic Energy Sciences,2024
Yunqiu Kelly Luo,Unknown,12,University of Southern California,University,Private,90089,Basic Energy Sciences,2024
David Martinez Caicedo,Male,N/A,South Dakota School of Mines and Technology,Unknown,,57701,Basic Energy Sciences,2024
Liane M. Moreau,Female,N/A,Washington State University,University,Other,99164,Basic Energy Sciences,2024
Ian Moult,Male,N/A,Yale University,University,Ivy League,06511,Basic Energy Sciences,2024
Lukas Muechler,Male,29,Penn State University,University,Other,16802,High Energy Physics,2024
Andy Nguyen,Male,18,"Elise Novitski, Assistant Professor",Unknown,,98195,Basic Energy Sciences,2024
Kevin Pedro,Male,36,Fermi National Accelerator Laboratory,National Lab,,60510,Basic Energy Sciences,2024
Bo Peng,Male,29,Pacific Northwest National Laboratory,National Lab,,99354,High Energy Physics,2024
Jennifer Louise Pore,Female,N/A,Lawrence Berkeley National Laboratory,National Lab,,94720,Nuclear Physics,2024
Wei Qin,Unknown,49,University of Oklahoma,University,Other,73019,Basic Energy Sciences,2024
Lina Quan,Female,43,Virginia Polytechnic Institute and State University,University,Other,24061,Biological and Environmental Research,2024
Dylan Rankin,Male,N/A,University of Pennsylvania,University,Ivy League,19104,Basic Energy Sciences,2024
Alex J. Rinehart,Male,N/A,New Mexico Tech,Unknown,,87801,High Energy Physics,2024
Sourabh K. Saha,Unknown,N/A,Georgia Institute of Technology,Unknown,,30332,Basic Energy Sciences,2024
Thomas Scaffidi,Male,26,"University of California, Irvine",University,Other,92697,Fusion Energy Sciences,2024
Daniel Schwalbe-Koda,Male,18,"University of California, Los Angeles",University,State/Public,90095,Basic Energy Sciences,2024
Filippo Scotti,Male,26,Lawrence Livermore National Laboratory,National Lab,,94550,Basic Energy Sciences,2024
S. Eileen Seo,Unknown,13,Arizona State University,University,Other,85281,Fusion Energy Sciences,2024
Kyle Seyler,Female,25,The University of Arizona,University,Other,85721,Basic Energy Sciences,2024
Sara Shamekh,Female,7,New York University,University,Private,10012,Basic Energy Sciences,2024
Yu-Tsun Shao,Unknown,24,University of Southern California,University,Private,90089,Basic Energy Sciences,2024
