Name,Gender,h-index,Institution,Category,Subcategory,Zipcode,Program Area,Year
Lars C. Grabow,Male,42,University of Houston,University,Other,77204,Basic Energy Sciences,2014
Peter W. Graham,Male,N/A,Stanford University,University,Private,94305,Basic Energy Sciences,2014
Anna Grassellino,Female,35,Fermi National Accelerator Laboratory,National Lab,,60510,High Energy Physics,2014
Brian A. Grierson,Male,N/A,Princeton Plasma Physics Laboratory,National Lab,,08543,High Energy Physics,2014
Stephanie B. Hansen,Female,50,"Sandia National Laboratories, New Mexico",National Lab,,87123,Fusion Energy Sciences,2014
James Hirschauer,Male,242,Fermi National Accelerator Laboratory,National Lab,,60510,Fusion Energy Sciences,2014
Nadine Kabengi,Female,22,Georgia State University,University,Other,30302,Advanced Scientific Computing Research,2014
Lisa J. Kaufman,Female,N/A,Indiana University,University,Other,47408,Basic Energy Sciences,2014
Wei Li,Unknown,220,William Marsh Rice University,University,Private,77005,Nuclear Physics,2014
Stephanie A. Majewski,Female,N/A,University of Oregon,University,Other,97403,High Energy Physics,2014
Ni Ni,Unknown,99,"University of California, Los Angeles",University,State/Public,90095,High Energy Physics,2014
Trent R. Northen,Male,64,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2014
Shyue Ping Ong,Unknown,88,"University of California, San Diego",University,State/Public,92093,Basic Energy Sciences,2014
Mike S. Pritchard,Male,33,"University of California, Irvine",University,Other,92697,Biological & Environmental Research,2014
Xin Qian,Unknown,76,Brookhaven National Laboratory,National Lab,,11973,High Energy Physics,2014
Joel C. Rowland,Male,N/A,Los Alamos National Laboratory,National Lab,,87545,High Energy Physics,2014
Florin Rusu,Male,24,"University of California, Merced",University,Other,95343,Advanced Scientific Computing Research,2014
Bjoern P. Schenke,Unknown,N/A,Brookhaven National Laboratory,National Lab,,11973,Advanced Scientific Computing Research,2014
Guglielmo Scovazzi,Male,33,Duke University,University,Private,27708,Advanced Scientific Computing Research,2014
Nathaniel P. Stern,Male,N/A,Northwestern University,University,Private,60208,Basic Energy Sciences,2014
Jenny Y. Yang,Female,43,"University of California, Irvine",University,Other,92697,Basic Energy Sciences,2014
James G. Analytis,Male,67,"University of California, Berkeley",University,State/Public,94720,Basic Energy Sciences,2015
Lawrence R. Baker,Male,N/A,Ohio State University,University,State/Public,43210,Basic Energy Sciences,2015
Phillip S. Barbeau,Male,N/A,Duke University,University,Private,27705,Basic Energy Sciences,2015
Ilenia Battiato,Female,27,San Diego State University,University,Other,92182,High Energy Physics,2015
Nathaniel J. Craig,Male,15,"University of California, Santa Barbara",University,Other,93106,Basic Energy Sciences,2015
Catherine M. Deibel,Female,34,Louisiana State University,University,Other,70803,High Energy Physics,2015
Christian Engelmann,Male,35,Oak Ridge National Laboratory,National Lab,,37831,Fusion Energy Sciences,2015
Eranda Nikolla,Female,32,Wayne State University,University,Other,48202,Advanced Scientific Computing Research,2015
Tori Z. Forbes,Female,29,University of Iowa,University,Other,52242,Basic Energy Sciences,2015
Jeffrey G. Gardner,Male,19,University of Maryland Baltimore County,University,Other,21250,Basic Energy Sciences,2015
Pierre Gentine,Male,74,Columbia University,University,Ivy League,10027,Biological and Environmental Research,2015
Krzysztof Gofryk,Male,32,Idaho National Laboratory,National Lab,,83415,Basic Energy Sciences,2015
Erik M. Grumstrup,Male,N/A,Montana State University,University,Other,59717,Basic Energy Sciences,2015
Thomas Hartman,Male,45,Cornell University,University,Ivy League,14853,High Energy Physics,2015
Cory D. Hauck,Male,N/A,Oak Ridge National Laboratory,National Lab,,37831,High Energy Physics,2015
David J. Heldebrant,Male,42,Pacific Northwest National Laboratory,National Lab,,99354,Advanced Scientific Computing Research,2015
Matthew E. Helgeson,Male,N/A,"University of California, Santa Barbara",University,Other,93106,Basic Energy Sciences,2015
Henry C. Hoffmann,Male,N/A,University of Chicago,University,Private,60637,Advanced Scientific Computing Research,2015
Anubhav Jain,Unknown,70,Lawrence Berkeley National Laboratory,National Lab,,94720,Advanced Scientific Computing Research,2015
Rebekka S. Klausen,Female,24,Johns Hopkins University,University,Private,21218,Basic Energy Sciences,2015
Christopher J. Kliewer,Male,27,Sandia National Laboratories,National Lab,,94550,Basic Energy Sciences,2015
Alexey Kovalev,Male,54,University of Nebraska,University,Other,68588,Basic Energy Sciences,2015
Kyle M. Lancaster,Female,40,Cornell University,University,Ivy League,14853,Basic Energy Sciences,2015
Christopher Lee,Male,73,Los Alamos National Laboratory,National Lab,,87544,Basic Energy Sciences,2015
Dongsheng Li,Unknown,106,Pacific Northwest National Laboratory,National Lab,,99354,Nuclear Physics,2015
Kin Fai Mak,Unknown,75,Pennsylvania State University,University,Other,16802,Basic Energy Sciences,2015
Lorenzo Mangolini,Male,34,"University of California, Riverside",University,Other,92521,Basic Energy Sciences,2015
Jeetain Mittal,Unknown,62,Lehigh University,University,Other,18015,Fusion Energy Sciences,2015
Katharine Page,Female,53,Oak Ridge National Laboratory,National Lab,,37831,Basic Energy Sciences,2015
Chad M. Parish,Male,43,Oak Ridge National Laboratory,National Lab,,37831,Basic Energy Sciences,2015
Andrew Puckett,Male,48,University of Connecticut,University,Other,06269,Fusion Energy Sciences,2015
Jonathan D. Raff,Male,N/A,Indiana University,University,Other,47401,Nuclear Physics,2015
Timothy J. Rupert,Male,36,"University of California, Irvine",University,Other,92697,Basic Energy Sciences,2015
Anne Sakdinawat,Female,N/A,SLAC National Accelerator Laboratory,National Lab,,94025,Basic Energy Sciences,2015
Elizabeth S. Sattely,Female,N/A,Stanford University,University,Private,94304,Basic Energy Sciences,2015
Jordan R. Schmidt,Male,N/A,University of Wisconsin‐Madison,University,Other,53715,Basic Energy Sciences,2015
Oliver Schmitz,Male,128,University of Wisconsin‐Madison,University,Other,53715,Basic Energy Sciences,2015
Daniel P. Shoemaker,Male,25,University of Illinois,University,Other,61820,Basic Energy Sciences,2015
Tracy R. Slatyer,Female,N/A,Massachusetts Institute of Technology,University,Private,02139,High Energy Physics,2015
Patricia Solvignon,Female,N/A,University of New Hampshire,University,Other,03824,Nuclear Physics,2015
Yogesh Surendranath,Male,58,Massachusetts Institute of Technology,University,Private,02139,Basic Energy Sciences,2015
Jing Tao,Unknown,43,Brookhaven National Laboratory,National Lab,,11973,Basic Energy Sciences,2015
Daniela M. Ushizima,Female,N/A,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2015
Brent A. VanDevender,Male,N/A,Pacific Northwest National Laboratory,National Lab,,99354,Advanced Scientific Computing Research,2015
Justin R. Walensky,Male,32,University of Missouri,University,Other,65211,Basic Energy Sciences,2015
Jonathan Weare,Male,22,University of Chicago,University,Private,60637,Advanced Scientific Computing Research,2015
Peter Winter,Male,17,Argonne National Laboratory,National Lab,,60439,Advanced Scientific Computing Research,2015
Yunyan Zhang,Unknown,25,Lawrence Livermore National Laboratory,National Lab,,94550,High Energy Physics,2015
Thomas K. Allison,Male,24,Stony Brook University,University,Other,11794,Basic Energy Sciences,2016
Jessica M. Anna,Female,N/A,University of Pennsylvania,University,Ivy League,19104,Basic Energy Sciences,2016
Scott D. Baalrud,Male,N/A,University of Iowa,University,Other,52242,Fusion Energy Sciences,2016
Peter J. Bruggeman,Male,N/A,University of Minnesota,University,State/Public,55455,Fusion Energy Sciences,2016
Alvin Cheung,Male,17,University of Washington,University,State/Public,98195,Advanced Scientific Computing Research,2016
Jim Ciston,Male,46,Lawrence Berkeley National Laboratory,National Lab,,94720,Advanced Scientific Computing Research,2016
Sean M. Couch,Male,N/A,Michigan State University,University,Other,48824,Basic Energy Sciences,2016
Daniela F. Cusack,Female,N/A,"University of California, Los Angeles",University,State/Public,90095,Nuclear Physics,2016
Yingge Du,Unknown,48,Pacific Northwest National Laboratory,National Lab,,99352,Biological and Environmental Research,2016
Jonathan W. Engle,Male,54,Los Alamos National Laboratory,National Lab,,87544,Basic Energy Sciences,2016
Grigory V. Eremeev,Male,N/A,Thomas Jefferson National Accelerator Facility,National Lab,,23606,Nuclear Physics,2016
Francesco A. Evangelista,Male,N/A,Emory University,University,Private,30322,Basic Energy Sciences,2016
Rebecca Flint,Female,16,Iowa State University,University,Other,50011,Basic Energy Sciences,2016
Alison R. Fout,Female,30,University of Illinois,University,Other,61820,Basic Energy Sciences,2016
Jacklyn M. Gates,Female,N/A,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2016
Kristian A. Hahn,Male,N/A,Northwestern University,University,Private,60201,Nuclear Physics,2016
Kirsten S. Hofmockel,Female,N/A,Pacific Northwest National Laboratory,National Lab,,99352,High Energy Physics,2016
Xia Hong,Unknown,64,University of Nebraska,University,Other,68588,Basic Energy Sciences,2016
Travis S. Humble,Male,N/A,Oak Ridge National Laboratory,National Lab,,37831,High Energy Physics,2016
Yier Jin,Unknown,54,University of Central Florida,University,Other,32826,Advanced Scientific Computing Research,2016
Robert D. Kolasinski,Male,N/A,Sandia National Laboratories,National Lab,,94551,Advanced Scientific Computing Research,2016
Egemen Kolemen,Male,36,Princeton University,University,Ivy League,08544,Fusion Energy Sciences,2016
Jessica A. Krogstad,Female,17,University of Illinois,University,Other,61820,Basic Energy Sciences,2016
Amber T. Krummel,Female,N/A,Colorado State University,University,Other,80523,Basic Energy Sciences,2016
Christoph Lehner,Male,31,Brookhaven National Laboratory,National Lab,,11973,Basic Energy Sciences,2016
Melanie A. Mayes,Female,40,Oak Ridge National Laboratory,National Lab,,37831,High Energy Physics,2016
Karis J. McFarlane,Female,21,Lawrence Livermore National Laboratory,National Lab,,94551,Biological and Environmental Research,2016
Chad Mitchell,Male,N/A,Lawrence Berkeley National Laboratory,National Lab,,94720,High Energy Physics,2016
James J. Moran,Male,80,Pacific Northwest National Laboratory,National Lab,,99352,High Energy Physics,2016
Wellington Muchero,Unknown,N/A,Oak Ridge National Laboratory,National Lab,,37831,Biological and Environmental Research,2016
Michael L. Neidig,Male,N/A,University of Rochester,University,Other,14627,Biological and Environmental Research,2016
Jamie R. Neilson,Female,N/A,Colorado State University,University,Other,80523,Basic Energy Sciences,2016
Katja C. Nowack,Female,N/A,Cornell University,University,Ivy League,14850,Basic Energy Sciences,2016
Kabir G. Peay,Male,53,Stanford University,University,Private,94304,Basic Energy Sciences,2016
Sam Posen,Male,30,Fermi National Accelerator Laboratory,National Lab,,60510,Biological and Environmental Research,2016
Jennifer L. Raaf,Female,N/A,Fermi National Accelerator Laboratory,National Lab,,60510,High Energy Physics,2016
Devesh Ranjan,Male,32,Georgia Institute of Technology,Unknown,,30332,Fusion Energy Sciences,2016
Matthew Redshaw,Male,20,Central Michigan University,University,Other,48859,Fusion Energy Sciences,2016
Eduardo Rozo,Male,6,University of Arizona,University,Other,85721,High Energy Physics,2016
Rebecca Schulman,Female,29,The Johns Hopkins University,University,Private,21218,High Energy Physics,2016
Ian D. Sharp,Male,56,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2016
John B. Shaw,Male,N/A,University of Arkansas,University,Other,72701,Basic Energy Sciences,2016
Adele C. Tamboli,Female,N/A,National Renewable Energy Laboratory,National Lab,,80401,Basic Energy Sciences,2016
Jeroen van Tilborg,Male,N/A,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2016
Clayton G. Webster,Male,N/A,Oak Ridge National Laboratory,National Lab,,37831,Advanced Scientific Computing Research,2016
Haidan Wen,Unknown,35,Argonne National Laboratory,National Lab,,60439,Advanced Scientific Computing Research,2016
Christopher Wrede,Male,32,Michigan State University,University,Other,48824,Nuclear Physics,2016
Zeeshan Ahmed,Male,48,SLAC National Accelerator Laboratory,National Lab,,94025,,2017
Jared M. Allred,Male,21,The University of Alabama,University,Other,35487,High Energy Physics,2017
Nicholas J. Bouskill,Male,N/A,Lawrence Berkeley National Laboratory (LBNL),National Lab,,94720,Biological and Environmental Research,2017
Kelly A. Chipps,Female,N/A,Oak Ridge National Laboratory (ORNL),National Lab,,37831,Biological and Environmental Research,2017
Brian A. Collins,Male,27,Washington State University,University,Other,99164,Nuclear Physics,2017
Steven C. DeCaluwe,Male,N/A,Colorado School of Mines,Unknown,,80401,Basic Energy Sciences,2017
Naresh Devineni,Male,31,The City College of New York,University,Other,10031,Basic Energy Sciences,2017
Matthew R. Dietrich,Male,15,Argonne National Laboratory (ANL),National Lab,,60439,Biological and Environmental Research,2017
Qiang Du,Unknown,81,Lawrence Berkeley National Laboratory (LBNL),National Lab,,94720,High Energy Physics,2017
Jiwen Fan,Unknown,57,Pacific Northwest National Laboratory (PNNL),National Lab,,99352,High Energy Physics,2017
Frederico Fiuza,Male,38,SLAC National Accelerator Laboratory,National Lab,,94025,Fusion Energy Sciences,2017
David J. Flannigan,Male,33,University of Minnesota,University,State/Public,55455,Basic Energy Sciences,2017
Renee R. Frontiera,Female,31,University of Minnesota,University,State/Public,55455,Basic Energy Sciences,2017
Kenneth R. Graham,Male,N/A,University of Kentucky,University,Other,40526,Basic Energy Sciences,2017
David L. Green,Male,32,Oak Ridge National Laboratory (ORNL),National Lab,,37831,Basic Energy Sciences,2017
Heiko Hergert,Male,36,Michigan State University,University,Other,48824,Nuclear Physics,2017
Alexander I. Himmel,Male,N/A,Fermi National Accelerator Laboratory (FNAL),National Lab,,60510,High Energy Physics,2017
Amy E. Hixon,Female,15,University of Notre Dame,University,Other,46556,Basic Energy Sciences,2017
Benjamin Hooberman,Male,260,University of Illinois,University,Other,61820,High Energy Physics,2017
Benjamin M. Hunt,Male,16,Carnegie Mellon University,University,Other,15213,High Energy Physics,2017
Josh Kacher,Male,25,Georgia Institute of Technology,Unknown,,30332,Basic Energy Sciences,2017
Mariam Kiran,Female,24,Lawrence Berkeley National Laboratory (LBNL),National Lab,,94720,Advanced Scientific Computing Research,2017
Charles D. Koven,Male,N/A,Lawrence Berkeley National Laboratory (LBNL),National Lab,,94720,Advanced Scientific Computing Research,2017
Stephanie Law,Female,25,University Of Delaware,University,Other,19716,Biological and Environmental Research,2017
Lin Lin,Female,327,"University of California, Berkeley",University,State/Public,94704,Advanced Scientific Computing Research,2017
Brian K. Long,Male,29,The University of Tennessee,University,Other,37996,Advanced Scientific Computing Research,2017
Richard L. Longland,Male,N/A,North Carolina State University,University,Other,27695,Basic Energy Sciences,2017
Kenneth Lopata,Male,25,Louisiana State University and A&M College,University,Other,70803,Basic Energy Sciences,2017
Marilena LoVerde,Female,38,SUNY Stony Brook University,University,Other,11794,High Energy Physics,2017
Steven O. Mansoorabadi,Male,N/A,Auburn University,University,Other,36849,High Energy Physics,2017
Julia M. Mikhailova,Female,N/A,Princeton University,University,Ivy League,08544,Fusion Energy Sciences,2017
Emilio A. Nanni,Male,N/A,SLAC National Accelerator Laboratory,National Lab,,94025,High Energy Physics,2017
Eric W. Neuscamman,Male,N/A,"University of California, Berkeley",University,State/Public,94704,Basic Energy Sciences,2017
James Ostrowski,Male,49,The University of Tennessee,University,Other,37996,Advanced Scientific Computing Research,2017
Dennis V. Perepelitsa,Male,218,University of Colorado,University,Other,80303,Advanced Scientific Computing Research,2017
Tom Peterka,Male,40,Argonne National Laboratory (ANL),National Lab,,60439,Advanced Scientific Computing Research,2017
Neeraj Rai,Male,26,Mississippi State University,University,Other,39762,Basic Energy Sciences,2017
Ted C. Rogers,Male,28,Old Dominion University,University,Other,23508,Basic Energy Sciences,2017
Tiark Rompf,Unknown,37,Purdue University,University,Other,47907,Advanced Scientific Computing Research,2017
Michael D. Schneider,Male,23,Lawrence Livermore National Laboratory (LLNL),National Lab,,94551,High Energy Physics,2017
Adam B. Sefkow,Male,35,University of Rochester,University,Other,14627,High Energy Physics,2017
Sanjaya D. Senanayake,Unknown,71,Brookhaven National Laboratory (BNL),National Lab,,11973,Fusion Energy Sciences,2017
Hannah S. Shafaat,Female,N/A,The Ohio State University,University,State/Public,43210,Basic Energy Sciences,2017
Sahar Sharifzadeh,Female,25,Boston University,University,Other,02215,Basic Energy Sciences,2017
Jessie F. Shelton,Female,N/A,University of Illinois,University,Other,61820,Basic Energy Sciences,2017
Siqian Shen,Unknown,26,University of Michigan,University,State/Public,48109,Advanced Scientific Computing Research,2017
Justin Stevens,Male,59,The College of William and Mary,University,Other,23187,Nuclear Physics,2017
Jin Suntivich,Female,39,Cornell University,University,Ivy League,14850,Nuclear Physics,2017
Jason R. Trelewicz,Male,22,SUNY Stony Brook University,University,Other,11794,Fusion Energy Sciences,2017
Juan P. Trelles,Male,26,University of Massachusetts Lowell,University,Other,01854,Fusion Energy Sciences,2017
Alessandro Tricoli,Male,N/A,Brookhaven National Laboratory (BNL),National Lab,,11973,High Energy Physics,2017
Anja von der Linden,Female,N/A,SUNY Stony Brook University,University,Other,11794,High Energy Physics,2017
Thomas Z. Ward,Male,44,Oak Ridge National Laboratory (ORNL),National Lab,,37831,High Energy Physics,2017
David J. Weston,Male,99,Oak Ridge National Laboratory (ORNL),National Lab,,37831,Biological and Environmental Research,2017
Timothy M. Wildey,Male,N/A,"Sandia National Laboratories, New Mexico (SNL‐NM)",National Lab,,87185,Advanced Scientific Computing Research,2017
Kelly C. Wrighton,Female,51,The Ohio State University,University,State/Public,43210,Advanced Scientific Computing Research,2017
Chao Zhang,Unknown,168,Brookhaven National Laboratory,National Lab,,11973,Biological and Environmental Research,2017
Jeramy D. Zimmerman,Male,36,Colorado School of Mines,Unknown,,80401,High Energy Physics,2017
Assel Aitkaliyeva,Female,17,University of Florida,University,State/Public,32605,,2018
Daniel Amador-Noguez,Male,38,University of Wisconsin-Madison,University,State/Public,53706,Basic Energy Sciences,2018
Artur Apresyan,Male,N/A,Fermi National Accelerator Laboratory (FNAL),National Lab,,60510,High Energy Physics,2018
Shane Ardo,Male,38,"University of California, Irvine",University,Other,92697,High Energy Physics,2018
Prasanna Balaprakash,Unknown,37,Argonne National Laboratory (ANL),National Lab,,60439,Advanced Scientific Computing Research,2018
Elizabeth J. Biddinger,Female,26,The City College of New York,University,Other,10031,Advanced Scientific Computing Research,2018
Valentina Bisogni,Female,30,Brookhaven National Laboratory (BNL),National Lab,,11973,Basic Energy Sciences,2018
James Blakemore,Male,34,University of Kansas,University,Other,66045,Basic Energy Sciences,2018
Daniel Bowring,Male,N/A,Fermi National Accelerator Laboratory (FNAL),National Lab,,60510,Basic Energy Sciences,2018
Nanette Boyle,Female,15,Colorado School of Mines,Unknown,,80401,Biological and Environmental Research,2018
Raul Briceno,Male,36,Old Dominion University,University,Other,23529,Nuclear Physics,2018
Susannah Burrows,Female,33,Pacific Northwest National Laboratory (PNNL),National Lab,,99352,Nuclear Physics,2018
Huibo Cao,Unknown,52,Oak Ridge National Laboratory (ORNL),National Lab,,37831,Biological and Environmental Research,2018
Ethan J. Crumlin,Male,62,Lawrence Berkeley National Laboratory (LBNL),National Lab,,94720,Basic Energy Sciences,2018
Eric C. Cyr,Male,20,Sandia National Laboratories (SNL-NM),National Lab,,87185,Advanced Scientific Computing Research,2018
Cesar da Silva,Male,37,Los Alamos National Laboratory (LANL),National Lab,,87544,Nuclear Physics,2018
Karen Davies,Female,91,Lawrence Berkeley National Laboratory (LBNL),National Lab,,94720,Nuclear Physics,2018
Nathalie de Leon,Female,37,Princeton University,University,Ivy League,08544,Basic Energy Sciences,2018
Luiz De Viveiros Souza Filho,Unknown,N/A,Pennsylvania State University,University,Other,16802,Basic Energy Sciences,2018
Jared Delcamp,Male,43,University of Mississippi,University,Other,38677,Basic Energy Sciences,2018
David Donovan,Male,13,The University of Tennessee,University,Other,37996,Basic Energy Sciences,2018
Benjamin Doughty,Male,25,Oak Ridge National Laboratory (ORNL),National Lab,,37831,Fusion Energy Sciences,2018
Daniel A. Dwyer,Male,N/A,Lawrence Berkeley National Laboratory (LBNL),National Lab,,94720,High Energy Physics,2018
Thomas Faulkner,Male,33,University of Illinois,University,Other,61801,High Energy Physics,2018
Nathaniel M. Ferraro,Male,N/A,Princeton Plasma Physics Laboratory (PPPL),National Lab,,08543,High Energy Physics,2018
Stefano Gandolfi,Male,54,Los Alamos National Laboratory (LANL),National Lab,,87545,Fusion Energy Sciences,2018
Tais Gorkhover,Unknown,29,SLAC National Accelerator Laboratory,National Lab,,94025,Basic Energy Sciences,2018
Alexander Gray,Male,39,Temple University,University,Other,19130,Basic Energy Sciences,2018
Kentaro Hara,Male,N/A,Texas A&M University,University,Other,77845,Fusion Energy Sciences,2018
Naruki Hiranuma,Unknown,19,West Texas A&M University,University,Other,79016,Basic Energy Sciences,2018
Kolby Jardine,Male,32,Lawrence Berkeley National Laboratory (LBNL),National Lab,,94720,Biological and Environmental Research,2018
Zhang Jiang,Unknown,47,Argonne National Laboratory (ANL),National Lab,,60439,Basic Energy Sciences,2018
Michael Kagan,Male,26,SLAC National Accelerator Laboratory,National Lab,,94025,Nuclear Physics,2018
Liqin Ke,Unknown,28,Ames Laboratory,Unknown,,50011,Basic Energy Sciences,2018
Karah E. Knope,Unknown,25,Georgetown University,University,Other,20057,Basic Energy Sciences,2018
Samuel Aaron Lazerson,Male,35,Princeton Plasma Physics Laboratory (PPPL),National Lab,,08543,Basic Energy Sciences,2018
Alexie Leauthaud-Harnett,Female,N/A,"University of California, Santa Cruz",University,Other,95064,High Energy Physics,2018
Joshua Levine,Male,66,The University of Arizona,University,Other,85721,Advanced Scientific Computing Research,2018
Bolin Liao,Unknown,29,"University of California, Santa Barbara",University,Other,93106,Advanced Scientific Computing Research,2018
Ryan P. Lively,Male,59,Georgia Institute of Technology,Unknown,,30332,Basic Energy Sciences,2018
Tammy Ma,Female,67,Lawrence Livermore National Laboratory (LLNL),National Lab,,94551,Fusion Energy Sciences,2018
Themis Mastoridis,Male,N/A,California Polytechnic State University,University,Other,93407,Fusion Energy Sciences,2018
Zach Meisel,Male,36,Ohio University,University,Other,45701,Nuclear Physics,2018
Siddharth Misra,Unknown,49,The University of Oklahoma,University,Other,73019,Basic Energy Sciences,2018
Karen L. Mulfort,Female,35,Argonne National Laboratory (ANL),National Lab,,60439,Basic Energy Sciences,2018
Jacquelyn Noronha-Hostler,Female,48,Rutgers University,University,Other,08854,Basic Energy Sciences,2018
Colin Ophus,Male,57,Lawrence Berkeley National Lab (LBNL),Unknown,,94720,Basic Energy Sciences,2018
Paris Perdikaris,Male,50,University of Pennsylvania,University,Ivy League,19104,Advanced Scientific Computing Research,2018
Nicola Perry,Female,28,University of Illinois,University,Other,61801,Advanced Scientific Computing Research,2018
David Powers,Male,40,Texas A&M University,University,Other,77843,Basic Energy Sciences,2018
Kerri A. Pratt,Female,N/A,University of Michigan,University,State/Public,48109,Basic Energy Sciences,2018
Benjamin Safdi,Male,50,University of Michigan,University,State/Public,48109,Basic Energy Sciences,2018
Omer San,Male,70,Oklahoma State University,University,Other,74078,Advanced Scientific Computing Research,2018
Hee-Jong Seo,Unknown,80,Ohio University,University,Other,45701,Advanced Scientific Computing Research,2018
Julian Shun,Male,35,Massachusetts Institute of Technology,University,Private,02139,Advanced Scientific Computing Research,2018
Meredith N. Silberstein,Female,N/A,Cornell University,University,Ivy League,14853,Advanced Scientific Computing Research,2018
David Simmons-Duffin,Male,48,California Institute of Technology,University,Private,91125,High Energy Physics,2018
Jaideep Taggart Singh,Unknown,N/A,Michigan State University,University,Other,48824,Nuclear Physics,2018
Zachary P. Smith,Male,41,Massachusetts Institute of Technology,University,Private,02139,Nuclear Physics,2018
Aritoki Suzuki,Unknown,N/A,Lawrence Berkeley National Laboratory (LBNL),National Lab,,94720,High Energy Physics,2018
Ming Tang,Unknown,55,Rice University,University,Private,77005,High Energy Physics,2018
Ming Lee Tang,Unknown,46,"University of California, Riverside",University,Other,92521,Basic Energy Sciences,2018
Kazuhiro Terao,Male,53,SLAC National Accelerator Laboratory,National Lab,,94025,Basic Energy Sciences,2018
Javier Tiffenberg,Male,55,Fermi National Accelerator Laboratory (FNAL),National Lab,,60510,High Energy Physics,2018
Wang-Kong Tse,Unknown,24,University of Alabama,University,Other,35487,Basic Energy Sciences,2018
Anne-Marie Valente-Feliciano,Female,N/A,Thomas Jefferson National Accelerator Facility,National Lab,,23606,Basic Energy Sciences,2018
Romain Vasseur,Male,47,University of Massachusetts Amherst,University,Other,01035,Nuclear Physics,2018
Anselm Vossen,Male,N/A,Duke University,University,Private,27708,Nuclear Physics,2018
Luisa Whittaker-Brooks,Female,29,University of Utah,University,Other,84112,Nuclear Physics,2018
Haixuan Xu,Unknown,29,The University of Tennessee,University,Other,37911,Basic Energy Sciences,2018
Xiaoshan Xu,Unknown,38,University of Nebraska-Lincoln,University,Other,68588,Basic Energy Sciences,2018
Rachel P. Yohay,Female,N/A,Florida State University,University,Other,32306,Basic Energy Sciences,2018
Guihua Yu,Unknown,192,The University of Texas at Austin,University,State/Public,78712,High Energy Physics,2018
Joel Yuen-Zhou,Male,38,University of California San Diego,University,Other,92093,Basic Energy Sciences,2018
Philipp Zerbe,Male,37,"University of California, Davis",University,Other,95618,Biological and Environmental Research,2018
Alex Zylstra,Male,52,Los Alamos National Laboratory (LANL),National Lab,,87545,Fusion Energy Sciences,2018
Robert Ainsworth,Male,N/A,Fermi National Accelerator Laboratory,National Lab,,60510,,2020
Jonathan Asaadi,Male,109,The University of Texas at Arlington,University,Other,76019,High Energy Physics,2020
Jason Azoulay,Male,35,University of Southern Mississippi,University,Other,39406,High Energy Physics,2020
Bryan Beckingham,Male,18,Auburn University,University,Other,36849,Basic Energy Sciences,2020
D. Kwabena Bediako,Unknown,28,"University of California, Berkeley",University,State/Public,94720,Basic Energy Sciences,2020
Michael Bishof,Male,182,Argonne National Laboratory,National Lab,,60439,Basic Energy Sciences,2020
Jennifer Bridwell-Rabb,Female,17,University of Michigan,University,State/Public,48109,Nuclear Physics,2020
Maria Chan,Female,46,Argonne National Laboratory,National Lab,,60439,Basic Energy Sciences,2020
Manos Chatzopoulos,Male,N/A,Louisiana State University,University,Other,70803,Basic Energy Sciences,2020
Federica Coppari,Female,N/A,Lawrence Livermore National Laboratory,National Lab,,94550,Nuclear Physics,2020
Amy Cordones-Hahn,Female,23,SLAC National Accelerator Laboratory,National Lab,,94025,Fusion Energy Sciences,2020
Joseph Cotruvo,Male,26,Pennsylvania State University,University,Other,16802,Basic Energy Sciences,2020
Arun Devaraj,Male,37,Pacific Northwest National Laboratory,National Lab,,99354,Basic Energy Sciences,2020
Javier Duarte,Male,229,The Regents of the University of California – UCSD,University,Other,92093,Basic Energy Sciences,2020
Christine E. Duval,Female,10,Case Western Reserve University,University,Other,44106,High Energy Physics,2020
Joanne B. Emerson,Female,34,"University of California, Davis",University,Other,95616,Nuclear Physics,2020
Li Fang,Unknown,75,University of Central Florida,University,Other,32816,Biological and Environmental Research,2020
Kevin G. Field,Male,N/A,2355 Bonisteel Blvd.,Unknown,,48109,Basic Energy Sciences,2020
Laura Fields,Female,89,Fermi National Accelerator Laboratory,National Lab,,60510,Fusion Energy Sciences,2020
Benjamin Frandsen,Male,25,Brigham Young University,University,Other,84602,High Energy Physics,2020
Ronald Fernando Garcia Ruiz,Male,36,Massachusetts Institute of Technology,University,Private,02139,Basic Energy Sciences,2020
Benedikt Geiger,Male,45,University of Wisconsin – Madison,University,Other,53715,Nuclear Physics,2020
Dustin A. Gilbert,Male,32,University of Tennessee,University,Other,37996,Fusion Energy Sciences,2020
Ranganathan Gopalakrishnan,Male,17,The University of Memphis,University,Other,38152,Basic Energy Sciences,2020
Marco Govoni,Male,33,Argonne National Laboratory (ANL),National Lab,,60439,Fusion Energy Sciences,2020
Heather Gray,Female,255,The Regents of University of California,University,Other,94710,Basic Energy Sciences,2020
Wendy Gu,Female,24,Stanford University,University,Private,94305,Basic Energy Sciences,2020
Matthew Hoffman,Male,40,Los Alamos National Laboratory,National Lab,,87545,Biological and Environmental Research,2020
Wanzheng Hu,Unknown,28,Boston University,University,Other,02215,Biological and Environmental Research,2020
