Name,Gender,Institution,Category,Subcategory,h-index
John Asbury,Male,Pennsylvania State University,University,Other,12
Pavan Balaji,Unknown,Argonne National Laboratory,National Lab,,47
Jesse Berezovsky,Male,Case Western Reserve University,University,Other,21
Theodore Betley,Male,Harvard University,University,Ivy League,45
Aditya Bhan,Male,University of Minnesota,University,State/Public,56
Kristen Buchanan,Female,Colorado State University,University,Other,22
Gianpaolo Carosi,Male,Lawrence Livermore National Laboratory,National Lab,,N/A
Brendan Casey,Male,Fermi National Accelerator Laboratory,National Lab,,35
Hank Childs,Male,Lawrence Berkeley National Laboratory,National Lab,,66
Amy Clarke,Female,Los Alamos National Laboratory,National Lab,,38
Nicolas Commaux,Male,Oak Ridge National Laboratory,National Lab,,N/A
Silviu Covrig,Male,Thomas Jefferson National Accelerator Facility,National Lab,,N/A
Christopher Crawford,Male,University of Kentucky,University,Other,35
Aleksandar Donev,Male,New York University,University,Private,48
Gary Douberly,Male,University of Georgia,University,Other,33
Xiangfeng Duan,Unknown,"University of California, Los Angeles",University,State/Public,154
Huaiyu Duan,Unknown,University of New Mexico,University,Other,31
John Dueber,Male,"University of California, Berkeley",University,State/Public,36
Mattan Erez,Unknown,University of Texas,University,Other,43
Rouven Essig,Male,Stony Brook University,University,Other,N/A
Joshua Figueroa,Male,"University of California, San Diego",University,State/Public,N/A
Charles Folden III,Male,Texas A&M University,University,Other,30
Oliver Gessner,Male,Lawrence Berkeley National Laboratory,National Lab,,36
Daniel Gianola,Male,University of Pennsylvania,University,Ivy League,81
Sean Hartnoll,Male,Stanford University,University,Private,56
Daniel Hayes,Male,Oak Ridge National Laboratory,National Lab,,148
Anne Jones,Female,Arizona State University,University,Other,62
Rohit Karnik,Unknown,Massachusetts Institute of Technology,University,Private,60
Daniel Kasen,Male,"University of California, Berkeley",University,State/Public,88
Andreas Kemp,Male,Lawrence Livermore National Laboratory,National Lab,,37
Svetlana Kilina,Female,North Dakota State University,University,Other,45
Matthias Kling,Male,Kansas State University,University,Other,63
Lu Li,Unknown,University of Michigan,University,State/Public,99
Rachel Mandelbaum,Female,Carnegie Mellon University,University,Other,N/A
Jaime Marian,Male,Lawrence Livermore National Laboratory,National Lab,,46
James McKinlay,Male,Indiana University,University,Other,29
Nikhil Padmanabhan,Male,Yale University,University,Ivy League,82
Steven Pain,Male,Oak Ridge National Laboratory,National Lab,,75
Felix Parra Diaz,Male,Massachusetts Institute of Technology,University,Private,N/A
Samuel Payne,Male,Pacific Northwest National Laboratory,National Lab,,47
Jennifer Reed,Female,University of Wisconsin,University,Other,32
Paul Romatschke,Male,University of Colorado,University,Other,45
Volker Rose,Male,Argonne National Laboratory,National Lab,,32
Ozgur Sahin,Unknown,Columbia University,University,Ivy League,34
Tina Salguero,Female,University of Georgia,University,Other,37
Leonardo Senatore,Male,Stanford University,University,Private,N/A
Tengming Shen,Unknown,Fermi National Accelerator Laboratory,National Lab,,23
Pavel Snopok,Male,Illinois Institute of Technology,Unknown,,35
Santiago Solares,Male,University of Maryland,University,Other,34
Garrett Suen,Male,University of Wisconsin,University,Other,52
Mitra Taheri,Female,Drexel University,University,Other,48
Ivan Vitev,Male,Los Alamos National Laboratory,National Lab,,65
Haim Waisman,Male,Columbia University,University,Ivy League,41
Lisa Whitehead,Female,University of Houston,University,Other,42
Richard Wilson,Male,Argonne National Laboratory,National Lab,,223
Kevin Wilson,Male,Lawrence Berkeley National Laboratory,National Lab,,64
Weida Wu,Unknown,Rutgers University,University,Other,38
Dao Xiang,Female,University of Washington,University,State/Public,15
Xiaodong Xu,Unknown,University of Washington,University,State/Public,108
Ming Ye,Unknown,Florida State University,University,Other,58
Jamey Young,Male,Vanderbilt University,University,Other,67
Victor Zavala,Male,Argonne National Laboratory,National Lab,,46
Junjie Zhu,Unknown,University of Michigan,University,State/Public,13
Joshua Zide,Male,University of Delaware,University,Other,36
Thomas Bligaard,Male,SLAC National Accelerator Laboratory,National Lab,,69
Adam S. Bolton,Male,University of Utah,University,Other,N/A
Cheng Cen,Unknown,West Virginia University,University,Other,83
Clarence L. Chang,Male,Argonne National Laboratory,National Lab,,5
Clifford W. Cheung,Male,California Institute of Technology,University,Private,N/A
Sigrid Close,Female,Stanford University,University,Private,30
Heather D. Coleman,Female,Syracuse University,University,Other,N/A
Valentino R. Cooper,Male,Oak Ridge National Laboratory,National Lab,,44
Frank E. Curtis,Male,Lehigh University,University,Other,31
Richard Dawes,Male,Missouri University of Science and Technology,University,Other,37
William Detmold,Male,Massachusetts Institute of Technology,University,Private,58
Jason A. Detwiler,Male,University of Washington,University,State/Public,56
Ahmed Diallo,Male,Princeton Plasma Physics Laboratory,National Lab,,41
Daniel B. Dougherty,Male,North Carolina State University,University,Other,N/A
Krzysztof J. Fidkowski,Male,University of Michigan,University,State/Public,N/A
Felix R. Fischer,Male,"University of California, Berkeley",University,State/Public,40
Liang Fu,Unknown,Massachusetts Institute of Technology,University,Private,101
Etienne Garand,Male,University of Wisconsin‐Madision,University,Other,27
Emanuel Gull,Male,University of Michigan,University,State/Public,56
Ruilan Guo,Unknown,University of Notre Dame,University,Other,34
Gaute Hagen,Male,Oak Ridge National Laboratory,National Lab,,59
Daniel J. Haxton,Male,Lawrence Berkeley National Laboratory,National Lab,,N/A
Jason P. Hayward,Male,The University of Tennessee,University,Other,15
Alexander Hexemer,Male,Lawrence Berkeley National Laboratory,National Lab,,N/A
Stefan Hoeche,Male,SLAC National Accelerator Laboratory,National Lab,,61
Andrew G. Ivanov,Male,Kansas State University,University,Other,N/A
Marian Jandel,Male,Los Alamos National Laboratory,National Lab,,31
Matthew C. Jewell,Male,University of Wisconsin‐Eau Claire,University,Other,N/A
Sriram Krishnamoorthy,Unknown,Pacific Northwest National Laboratory,National Lab,,57
Milind Kulkarni,Unknown,Purdue University,University,Other,36
Keji Lai,Unknown,University of Texas at Austin,University,State/Public,44
Dominique Loque,Unknown,University of Hawaii,University,Other,N/A
Jelena Maricic,Female,University of Hawaii,University,Other,60
Benjamin J. McMorran,Male,University of Oregon,University,Other,23
William E. Mustain,Male,University of Connecticut,University,Other,53
Rebecca B. Neumann,Female,University of Washington,University,State/Public,23
Michelle A. O'Malley,Female,"University of California, Santa Barbara",University,Other,37
Gabriel D. Orebi Gann,Male,"University of California, Berkeley",University,State/Public,N/A
Toyoko Jennifer Orimoto,Female,Northeastern University,University,Other,N/A
Johnpierre Paglione,Unknown,University of Maryland,University,Other,63
George Shu Heng Pau,Male,Lawrence Berkeley National Laboratory,National Lab,,20
Brian F. Pfleger,Male,University of Wisconsin‐Madision,University,Other,44
Yuan Ping,Unknown,Lawrence Livermore National Laboratory,National Lab,,94
Brian A. Powell,Male,Clemson University,University,Other,N/A
Danilo C. Pozzo,Male,University of Washington,University,State/Public,N/A
Ashwin Ramasubramaniam,Unknown,"University of Massachusetts, Amherst",University,Other,37
Lijuan Ruan,Unknown,Brookhaven National Laboratory,National Lab,,N/A
Matthias R. Schindler,Male,University of South Carolina,University,Other,N/A
Jonathan Simon,Male,University of Chicago,University,Private,64
Sara E. Skrabalak,Female,Indiana University,University,Other,N/A
Ivan I. Smalyukh,Male,University of Colorado,University,Other,70
Xiaowei Teng,Unknown,University of New Hampshire,University,Other,36
Megan C. Thielges,Female,Indiana University,University,Other,N/A
William A. Tisdale,Male,Massachusetts Institute of Technology,University,Private,45
Andrew J. Tolley,Male,Case Western Reserve University,University,Other,3
Nathan M. Urban,Male,Los Alamos National Laboratory,National Lab,,24
Katherine A. Willets,Female,University of Texas at Austin,University,State/Public,39
Michael Williams,Male,Massachusetts Institute of Technology,University,Private,89
Juhao Wu,Unknown,SLAC National Accelerator Laboratory,National Lab,,N/A
Setthivoine You,Unknown,University of Washington,University,State/Public,14
Dominika Zgid,Female,University of Michigan,University,State/Public,32
Rebecca J. Abergel,Female,Lawrence Berkeley National Laboratory,National Lab,,N/A
Geoffrey S.D. Beach,Male,Massachusetts Institute of Technology,University,Private,N/A
Jenifer C. Braley,Female,Colorado School of Mines,Unknown,,N/A
Antoine J. Cerfon,Male,New York University,University,Private,N/A
Emil M. Constantinescu,Male,Argonne National Laboratory,National Lab,,N/A
Carl Eric Dahl,Male,Northwestern University,University,Private,N/A
Mark P.M. Dean,Male,Brookhaven National Laboratory,National Lab,,36
Olivier A. Delaire,Male,Oak Ridge National Laboratory,National Lab,,N/A
Rafael M. Fernandes,Male,University of Minnesota,University,State/Public,60
Daniele Filippetto,Female,Lawrence Berkeley National Laboratory,National Lab,,28
Gregory D. Fuchs,Male,Cornell University,University,Ivy League,39
Todd Gamblin,Male,Lawrence Livermore National Laboratory,National Lab,,37
Shambhu Ghimire,Unknown,SLAC National Accelerator Laboratory,National Lab,,37
Lars C. Grabow,Male,University of Houston,University,Other,42
Peter W. Graham,Male,Stanford University,University,Private,N/A
Anna Grassellino,Female,Fermi National Accelerator Laboratory,National Lab,,35
Brian A. Grierson,Male,Princeton Plasma Physics Laboratory,National Lab,,N/A
Stephanie B. Hansen,Female,"Sandia National Laboratories, New Mexico",National Lab,,49
James Hirschauer,Male,Fermi National Accelerator Laboratory,National Lab,,241
Nadine Kabengi,Female,Georgia State University,University,Other,21
Lisa J. Kaufman,Female,Indiana University,University,Other,N/A
Wei Li,Unknown,William Marsh Rice University,University,Private,218
Stephanie A. Majewski,Female,University of Oregon,University,Other,N/A
Ni Ni,Unknown,"University of California, Los Angeles",University,State/Public,99
Trent R. Northen,Male,Lawrence Berkeley National Laboratory,National Lab,,64
Shyue Ping Ong,Unknown,"University of California, San Diego",University,State/Public,88
Mike S. Pritchard,Male,"University of California, Irvine",University,Other,33
Xin Qian,Unknown,Brookhaven National Laboratory,National Lab,,75
Joel C. Rowland,Male,Los Alamos National Laboratory,National Lab,,N/A
Florin Rusu,Male,"University of California, Merced",University,Other,24
Bjoern P. Schenke,Unknown,Brookhaven National Laboratory,National Lab,,N/A
Guglielmo Scovazzi,Male,Duke University,University,Private,32
Nathaniel P. Stern,Male,Northwestern University,University,Private,N/A
Jenny Y. Yang,Female,"University of California, Irvine",University,Other,43
James G. Analytis,Male,"University of California, Berkeley",University,State/Public,67
Lawrence R. Baker,Male,Ohio State University,University,State/Public,N/A
Phillip S. Barbeau,Male,Duke University,University,Private,N/A
Ilenia Battiato,Female,San Diego State University,University,Other,26
Nathaniel J. Craig,Male,"University of California, Santa Barbara",University,Other,15
Catherine M. Deibel,Female,Louisiana State University,University,Other,34
Christian Engelmann,Male,Oak Ridge National Laboratory,National Lab,,34
Eranda Nikolla,Female,Wayne State University,University,Other,31
Tori Z. Forbes,Female,University of Iowa,University,Other,28
Jeffrey G. Gardner,Male,University of Maryland Baltimore County,University,Other,19
Pierre Gentine,Male,Columbia University,University,Ivy League,72
Krzysztof Gofryk,Male,Idaho National Laboratory,National Lab,,32
Erik M. Grumstrup,Male,Montana State University,University,Other,N/A
Thomas Hartman,Male,Cornell University,University,Ivy League,44
Cory D. Hauck,Male,Oak Ridge National Laboratory,National Lab,,N/A
David J. Heldebrant,Male,Pacific Northwest National Laboratory,National Lab,,42
Matthew E. Helgeson,Male,"University of California, Santa Barbara",University,Other,N/A
Henry C. Hoffmann,Male,University of Chicago,University,Private,N/A
Anubhav Jain,Unknown,Lawrence Berkeley National Laboratory,National Lab,,69
Rebekka S. Klausen,Female,Johns Hopkins University,University,Private,24
Christopher J. Kliewer,Male,Sandia National Laboratories,National Lab,,27
Alexey Kovalev,Male,University of Nebraska,University,Other,53
Kyle M. Lancaster,Female,Cornell University,University,Ivy League,39
Christopher Lee,Male,Los Alamos National Laboratory,National Lab,,72
Dongsheng Li,Unknown,Pacific Northwest National Laboratory,National Lab,,105
Kin Fai Mak,Unknown,Pennsylvania State University,University,Other,74
Lorenzo Mangolini,Male,"University of California, Riverside",University,Other,33
Jeetain Mittal,Unknown,Lehigh University,University,Other,61
Katharine Page,Female,Oak Ridge National Laboratory,National Lab,,52
Chad M. Parish,Male,Oak Ridge National Laboratory,National Lab,,43
Andrew Puckett,Male,University of Connecticut,University,Other,48
Jonathan D. Raff,Male,Indiana University,University,Other,N/A
Timothy J. Rupert,Male,"University of California, Irvine",University,Other,36
Anne Sakdinawat,Female,SLAC National Accelerator Laboratory,National Lab,,N/A
Elizabeth S. Sattely,Female,Stanford University,University,Private,N/A
Jordan R. Schmidt,Male,University of Wisconsin‐Madison,University,Other,N/A
Oliver Schmitz,Male,University of Wisconsin‐Madison,University,Other,127
Daniel P. Shoemaker,Male,University of Illinois,University,Other,24
Tracy R. Slatyer,Female,Massachusetts Institute of Technology,University,Private,N/A
Patricia Solvignon,Female,University of New Hampshire,University,Other,N/A
Yogesh Surendranath,Male,Massachusetts Institute of Technology,University,Private,58
Jing Tao,Unknown,Brookhaven National Laboratory,National Lab,,43
Daniela M. Ushizima,Female,Lawrence Berkeley National Laboratory,National Lab,,N/A
Brent A. VanDevender,Male,Pacific Northwest National Laboratory,National Lab,,N/A
Justin R. Walensky,Male,University of Missouri,University,Other,32
Jonathan Weare,Male,University of Chicago,University,Private,22
Peter Winter,Male,Argonne National Laboratory,National Lab,,15
Yunyan Zhang,Unknown,Lawrence Livermore National Laboratory,National Lab,,24
Thomas K. Allison,Male,Stony Brook University,University,Other,24
Jessica M. Anna,Female,University of Pennsylvania,University,Ivy League,N/A
Scott D. Baalrud,Male,University of Iowa,University,Other,N/A
Peter J. Bruggeman,Male,University of Minnesota,University,State/Public,N/A
Alvin Cheung,Male,University of Washington,University,State/Public,36
Jim Ciston,Male,Lawrence Berkeley National Laboratory,National Lab,,45
Sean M. Couch,Male,Michigan State University,University,Other,N/A
Daniela F. Cusack,Female,"University of California, Los Angeles",University,State/Public,N/A
Yingge Du,Unknown,Pacific Northwest National Laboratory,National Lab,,47
Jonathan W. Engle,Male,Los Alamos National Laboratory,National Lab,,53
Grigory V. Eremeev,Male,Thomas Jefferson National Accelerator Facility,National Lab,,N/A
Francesco A. Evangelista,Male,Emory University,University,Private,N/A
Rebecca Flint,Female,Iowa State University,University,Other,15
Alison R. Fout,Female,University of Illinois,University,Other,30
Jacklyn M. Gates,Female,Lawrence Berkeley National Laboratory,National Lab,,N/A
Kristian A. Hahn,Male,Northwestern University,University,Private,N/A
Kirsten S. Hofmockel,Female,Pacific Northwest National Laboratory,National Lab,,N/A
Xia Hong,Unknown,University of Nebraska,University,Other,63
Travis S. Humble,Male,Oak Ridge National Laboratory,National Lab,,N/A
Yier Jin,Unknown,University of Central Florida,University,Other,54
Robert D. Kolasinski,Male,Sandia National Laboratories,National Lab,,N/A
Egemen Kolemen,Male,Princeton University,University,Ivy League,35
Jessica A. Krogstad,Female,University of Illinois,University,Other,17
Amber T. Krummel,Female,Colorado State University,University,Other,N/A
Christoph Lehner,Male,Brookhaven National Laboratory,National Lab,,31
Melanie A. Mayes,Female,Oak Ridge National Laboratory,National Lab,,39
Karis J. McFarlane,Female,Lawrence Livermore National Laboratory,National Lab,,20
Chad Mitchell,Male,Lawrence Berkeley National Laboratory,National Lab,,N/A
James J. Moran,Male,Pacific Northwest National Laboratory,National Lab,,80
Wellington Muchero,Unknown,Oak Ridge National Laboratory,National Lab,,N/A
Michael L. Neidig,Male,University of Rochester,University,Other,N/A
Jamie R. Neilson,Female,Colorado State University,University,Other,N/A
Katja C. Nowack,Female,Cornell University,University,Ivy League,N/A
Kabir G. Peay,Male,Stanford University,University,Private,N/A
Sam Posen,Male,Fermi National Accelerator Laboratory,National Lab,,30
Jennifer L. Raaf,Female,Fermi National Accelerator Laboratory,National Lab,,N/A
Devesh Ranjan,Male,Georgia Institute of Technology,Unknown,,31
Matthew Redshaw,Male,Central Michigan University,University,Other,20
Eduardo Rozo,Male,University of Arizona,University,Other,6
Rebecca Schulman,Female,The Johns Hopkins University,University,Private,29
Ian D. Sharp,Male,Lawrence Berkeley National Laboratory,National Lab,,56
John B. Shaw,Male,University of Arkansas,University,Other,N/A
Adele C. Tamboli,Female,National Renewable Energy Laboratory,National Lab,,N/A
Jeroen van Tilborg,Male,Lawrence Berkeley National Laboratory,National Lab,,N/A
Clayton G. Webster,Male,Oak Ridge National Laboratory,National Lab,,N/A
Haidan Wen,Unknown,Argonne National Laboratory,National Lab,,35
Christopher Wrede,Male,Michigan State University,University,Other,32
Zeeshan Ahmed,Male,SLAC National Accelerator Laboratory,National Lab,,47
Jared M. Allred,Male,The University of Alabama,University,Other,21
Nicholas J. Bouskill,Male,Lawrence Berkeley National Laboratory (LBNL),National Lab,,N/A
Kelly A. Chipps,Female,Oak Ridge National Laboratory (ORNL),National Lab,,N/A
Brian A. Collins,Male,Washington State University,University,Other,27
Steven C. DeCaluwe,Male,Colorado School of Mines,Unknown,,N/A
Naresh Devineni,Male,The City College of New York,University,Other,30
Matthew R. Dietrich,Male,Argonne National Laboratory (ANL),National Lab,,15
Qiang Du,Unknown,Lawrence Berkeley National Laboratory (LBNL),National Lab,,81
Jiwen Fan,Unknown,Pacific Northwest National Laboratory (PNNL),National Lab,,56
Frederico Fiuza,Male,SLAC National Accelerator Laboratory,National Lab,,38
David J. Flannigan,Male,University of Minnesota,University,State/Public,33
Renee R. Frontiera,Female,University of Minnesota,University,State/Public,31
Kenneth R. Graham,Male,University of Kentucky,University,Other,N/A
David L. Green,Male,Oak Ridge National Laboratory (ORNL),National Lab,,32
Heiko Hergert,Male,Michigan State University,University,Other,35
Alexander I. Himmel,Male,Fermi National Accelerator Laboratory (FNAL),National Lab,,N/A
Amy E. Hixon,Female,University of Notre Dame,University,Other,15
Benjamin Hooberman,Male,University of Illinois,University,Other,259
Benjamin M. Hunt,Male,Carnegie Mellon University,University,Other,17
Josh Kacher,Male,Georgia Institute of Technology,Unknown,,24
Mariam Kiran,Female,Lawrence Berkeley National Laboratory (LBNL),National Lab,,23
Charles D. Koven,Male,Lawrence Berkeley National Laboratory (LBNL),National Lab,,N/A
Stephanie Law,Female,University Of Delaware,University,Other,25
Lin Lin,Female,"University of California, Berkeley",University,State/Public,324
Brian K. Long,Male,The University of Tennessee,University,Other,29
Richard L. Longland,Male,North Carolina State University,University,Other,N/A
Kenneth Lopata,Male,Louisiana State University and A&M College,University,Other,25
Marilena LoVerde,Female,SUNY Stony Brook University,University,Other,37
Steven O. Mansoorabadi,Male,Auburn University,University,Other,N/A
Julia M. Mikhailova,Female,Princeton University,University,Ivy League,N/A
Emilio A. Nanni,Male,SLAC National Accelerator Laboratory,National Lab,,N/A
Eric W. Neuscamman,Male,"University of California, Berkeley",University,State/Public,N/A
James Ostrowski,Male,The University of Tennessee,University,Other,48
Dennis V. Perepelitsa,Male,University of Colorado,University,Other,216
Tom Peterka,Male,Argonne National Laboratory (ANL),National Lab,,40
Neeraj Rai,Male,Mississippi State University,University,Other,26
Ted C. Rogers,Male,Old Dominion University,University,Other,28
Tiark Rompf,Unknown,Purdue University,University,Other,37
Michael D. Schneider,Male,Lawrence Livermore National Laboratory (LLNL),National Lab,,23
Adam B. Sefkow,Male,University of Rochester,University,Other,35
Sanjaya D. Senanayake,Unknown,Brookhaven National Laboratory (BNL),National Lab,,70
Hannah S. Shafaat,Female,The Ohio State University,University,State/Public,N/A
Sahar Sharifzadeh,Female,Boston University,University,Other,25
Jessie F. Shelton,Female,University of Illinois,University,Other,N/A
Siqian Shen,Unknown,University of Michigan,University,State/Public,26
Justin Stevens,Male,The College of William and Mary,University,Other,58
Jin Suntivich,Female,Cornell University,University,Ivy League,39
Jason R. Trelewicz,Male,SUNY Stony Brook University,University,Other,22
Juan P. Trelles,Male,University of Massachusetts Lowell,University,Other,26
Alessandro Tricoli,Male,Brookhaven National Laboratory (BNL),National Lab,,N/A
Anja von der Linden,Female,SUNY Stony Brook University,University,Other,N/A
Thomas Z. Ward,Male,Oak Ridge National Laboratory (ORNL),National Lab,,42
David J. Weston,Male,Oak Ridge National Laboratory (ORNL),National Lab,,100
Timothy M. Wildey,Male,"Sandia National Laboratories, New Mexico (SNL‐NM)",National Lab,,N/A
Kelly C. Wrighton,Female,The Ohio State University,University,State/Public,51
Chao Zhang,Unknown,Brookhaven National Laboratory,National Lab,,165
Jeramy D. Zimmerman,Male,Colorado School of Mines,Unknown,,36
Assel Aitkaliyeva,Female,University of Florida,University,State/Public,17
Daniel Amador-Noguez,Male,University of Wisconsin-Madison,University,State/Public,37
Artur Apresyan,Male,Fermi National Accelerator Laboratory (FNAL),National Lab,,N/A
Shane Ardo,Male,"University of California, Irvine",University,Other,38
Prasanna Balaprakash,Unknown,Argonne National Laboratory (ANL),National Lab,,37
Elizabeth J. Biddinger,Female,The City College of New York,University,Other,26
Valentina Bisogni,Female,Brookhaven National Laboratory (BNL),National Lab,,30
James Blakemore,Male,University of Kansas,University,Other,33
Daniel Bowring,Male,Fermi National Accelerator Laboratory (FNAL),National Lab,,N/A
Nanette Boyle,Female,Colorado School of Mines,Unknown,,14
Raul Briceno,Male,Old Dominion University,University,Other,35
Susannah Burrows,Female,Pacific Northwest National Laboratory (PNNL),National Lab,,33
Huibo Cao,Unknown,Oak Ridge National Laboratory (ORNL),National Lab,,50
Ethan J. Crumlin,Male,Lawrence Berkeley National Laboratory (LBNL),National Lab,,61
Eric C. Cyr,Male,Sandia National Laboratories (SNL-NM),National Lab,,20
Cesar da Silva,Male,Los Alamos National Laboratory (LANL),National Lab,,37
Karen Davies,Female,Lawrence Berkeley National Laboratory (LBNL),National Lab,,91
Nathalie de Leon,Female,Princeton University,University,Ivy League,36
Luiz De Viveiros Souza Filho,Unknown,Pennsylvania State University,University,Other,N/A
Jared Delcamp,Male,University of Mississippi,University,Other,43
David Donovan,Male,The University of Tennessee,University,Other,13
Benjamin Doughty,Male,Oak Ridge National Laboratory (ORNL),National Lab,,24
Daniel A. Dwyer,Male,Lawrence Berkeley National Laboratory (LBNL),National Lab,,N/A
Thomas Faulkner,Male,University of Illinois,University,Other,33
Nathaniel M. Ferraro,Male,Princeton Plasma Physics Laboratory (PPPL),National Lab,,N/A
Stefano Gandolfi,Male,Los Alamos National Laboratory (LANL),National Lab,,53
Tais Gorkhover,Unknown,SLAC National Accelerator Laboratory,National Lab,,28
Alexander Gray,Male,Temple University,University,Other,39
Kentaro Hara,Male,Texas A&M University,University,Other,N/A
Naruki Hiranuma,Unknown,West Texas A&M University,University,Other,19
Kolby Jardine,Male,Lawrence Berkeley National Laboratory (LBNL),National Lab,,31
Zhang Jiang,Unknown,Argonne National Laboratory (ANL),National Lab,,43
Michael Kagan,Male,SLAC National Accelerator Laboratory,National Lab,,210
Liqin Ke,Unknown,Ames Laboratory,Unknown,,28
Karah E. Knope,Unknown,Georgetown University,University,Other,25
Samuel Aaron Lazerson,Male,Princeton Plasma Physics Laboratory (PPPL),National Lab,,34
Alexie Leauthaud-Harnett,Female,"University of California, Santa Cruz",University,Other,N/A
Joshua Levine,Male,The University of Arizona,University,Other,66
Bolin Liao,Unknown,"University of California, Santa Barbara",University,Other,29
Ryan P. Lively,Male,Georgia Institute of Technology,Unknown,,58
Tammy Ma,Female,Lawrence Livermore National Laboratory (LLNL),National Lab,,66
Themis Mastoridis,Male,California Polytechnic State University,University,Other,N/A
Zach Meisel,Male,Ohio University,University,Other,36
Siddharth Misra,Unknown,The University of Oklahoma,University,Other,49
Karen L. Mulfort,Female,Argonne National Laboratory (ANL),National Lab,,35
Jacquelyn Noronha-Hostler,Female,Rutgers University,University,Other,47
Colin Ophus,Male,Lawrence Berkeley National Lab (LBNL),Unknown,,56
Paris Perdikaris,Male,University of Pennsylvania,University,Ivy League,49
Nicola Perry,Female,University of Illinois,University,Other,28
David Powers,Male,Texas A&M University,University,Other,40
Kerri A. Pratt,Female,University of Michigan,University,State/Public,N/A
Benjamin Safdi,Male,University of Michigan,University,State/Public,49
Omer San,Male,Oklahoma State University,University,Other,70
Hee-Jong Seo,Unknown,Ohio University,University,Other,80
Julian Shun,Male,Massachusetts Institute of Technology,University,Private,35
Meredith N. Silberstein,Female,Cornell University,University,Ivy League,N/A
David Simmons-Duffin,Male,California Institute of Technology,University,Private,48
Jaideep Taggart Singh,Unknown,Michigan State University,University,Other,N/A
Zachary P. Smith,Male,Massachusetts Institute of Technology,University,Private,39
Aritoki Suzuki,Unknown,Lawrence Berkeley National Laboratory (LBNL),National Lab,,N/A
Ming Tang,Unknown,Rice University,University,Private,55
Ming Lee Tang,Unknown,"University of California, Riverside",University,Other,46
Kazuhiro Terao,Male,SLAC National Accelerator Laboratory,National Lab,,52
Javier Tiffenberg,Male,Fermi National Accelerator Laboratory (FNAL),National Lab,,54
Wang-Kong Tse,Unknown,University of Alabama,University,Other,23
Anne-Marie Valente-Feliciano,Female,Thomas Jefferson National Accelerator Facility,National Lab,,N/A
Romain Vasseur,Male,University of Massachusetts Amherst,University,Other,47
Anselm Vossen,Male,Duke University,University,Private,N/A
Luisa Whittaker-Brooks,Female,University of Utah,University,Other,29
Haixuan Xu,Unknown,The University of Tennessee,University,Other,29
Xiaoshan Xu,Unknown,University of Nebraska-Lincoln,University,Other,37
Rachel P. Yohay,Female,Florida State University,University,Other,N/A
Guihua Yu,Unknown,The University of Texas at Austin,University,State/Public,188
Joel Yuen-Zhou,Male,University of California San Diego,University,Other,38
Philipp Zerbe,Male,"University of California, Davis",University,Other,37
Alex Zylstra,Male,Los Alamos National Laboratory (LANL),National Lab,,51
Robert Ainsworth,Male,Fermi National Accelerator Laboratory,National Lab,,N/A
Jonathan Asaadi,Male,The University of Texas at Arlington,University,Other,108
Jason Azoulay,Male,University of Southern Mississippi,University,Other,35
Bryan Beckingham,Male,Auburn University,University,Other,18
D. Kwabena Bediako,Unknown,"University of California, Berkeley",University,State/Public,27
Michael Bishof,Male,Argonne National Laboratory,National Lab,,182
Jennifer Bridwell-Rabb,Female,University of Michigan,University,State/Public,17
Maria Chan,Female,Argonne National Laboratory,National Lab,,46
Manos Chatzopoulos,Male,Louisiana State University,University,Other,N/A
Federica Coppari,Female,Lawrence Livermore National Laboratory,National Lab,,N/A
Amy Cordones-Hahn,Female,SLAC National Accelerator Laboratory,National Lab,,23
Joseph Cotruvo,Male,Pennsylvania State University,University,Other,26
Arun Devaraj,Male,Pacific Northwest National Laboratory,National Lab,,37
Javier Duarte,Male,The Regents of the University of California – UCSD,University,Other,229
Christine E. Duval,Female,Case Western Reserve University,University,Other,9
Joanne B. Emerson,Female,"University of California, Davis",University,Other,34
Li Fang,Unknown,University of Central Florida,University,Other,75
Kevin G. Field,Male,2355 Bonisteel Blvd.,Unknown,,N/A
Laura Fields,Female,Fermi National Accelerator Laboratory,National Lab,,89
Benjamin Frandsen,Male,Brigham Young University,University,Other,25
Ronald Fernando Garcia Ruiz,Male,Massachusetts Institute of Technology,University,Private,35
Benedikt Geiger,Male,University of Wisconsin – Madison,University,Other,45
Dustin A. Gilbert,Male,University of Tennessee,University,Other,31
Ranganathan Gopalakrishnan,Male,The University of Memphis,University,Other,17
Marco Govoni,Male,Argonne National Laboratory (ANL),National Lab,,30
Heather Gray,Female,The Regents of University of California,University,Other,253
Wendy Gu,Female,Stanford University,University,Private,24
Matthew Hoffman,Male,Los Alamos National Laboratory,National Lab,,39
Wanzheng Hu,Unknown,Boston University,University,Other,28
Paul W. Humrickhouse,Male,Idaho National Laboratory,National Lab,,N/A
Jonathan Jarvis,Male,Fermi National Accelerator Laboratory,National Lab,,10
Luchang Jin,Unknown,University of Connecticut,University,Other,31
Siddharth Karkare,Unknown,Arizona State University,University,Other,25
Trevor F. Keenan,Male,UC Berkeley,Unknown,,70
Vedika Khemani,Unknown,Stanford University,University,Private,40
Laura Lammers,Female,Lawrence Berkeley National Laboratory,National Lab,,23
Kyle G. Leach,Female,Colorado School of Mines,Unknown,,31
Hugh Lippincott,Male,Regents of the University of California,University,Other,N/A
Alessandro Lovato,Male,Argonne National Laboratory,National Lab,,34
