Name,Gender,Institution,Category,Subcategory,h-index
Maria Laura di Vacri,Female,Pacific Northwest National Laboratory,National Lab,,N/A
Leah G. Dodson,Female,Biochemistry University of Maryland,University,Other,9
Dong,Unknown,"University of Oklahoma,",University,Other,222
Chuanfei Dong,Unknown,Boston University,University,Other,39
Leora Dresselhaus-Marais,Female,Stanford University,University,Private,12
Vinicius Duarte,Male,Princeton Plasma Physics Laboratory,National Lab,,21
Guillaume Duclos,Male,Physics Brandeis University,University,Other,16
Eugene Dumitrescu,Male,Computational Science and Engineering,Unknown,,21
Raghav Kunnawalkam Elayavalli,Unknown,Vanderbilt University,University,Other,N/A
Claudio Emma,Male,Advanced Accelerator Research,Unknown,,19
Guillermo Fernandez Moroni,Male,Fermi National Accelerator Laboratory,National Lab,,N/A
Rich Fiorella,Male,Los Alamos National Laboratory,National Lab,,14
Holly B. Flynn,Female,Savannah River National,Unknown,,N/A
Fereshte Ghahari Kermani,Unknown,George Mason University,University,Other,N/A
Nikolay Golubev,Male,University of Arizona,University,Other,14
Laura Gunn,Female,"School of Integrative Plant Sciences, Plant Biology",Unknown,,21
Shabnam Hematian,Unknown,University of North Carolina at Greensboro,University,Other,10
Robert Hovden,Male,University of Michigan,University,State/Public,44
Ezio Iacocca,Male,Science University of Colorado Colorado,University,Other,29
Lise-Marie Imbert-Gerard,Unknown,"Arizona Board of Regents, University of Arizona",University,Other,10
Nicholas Jackson,Male,"University of Illinois, Urbana-Champaign",University,Other,40
Jing Li,Unknown,New Jersey Institute of,Unknown,,117
Julia Kalow,Female,Chemistry Northwestern,Unknown,,27
Brendan Keith,Male,Brown University,University,Ivy League,29
Takaaki Koyanagi,Male,Oak Ridge National Laboratory,National Lab,,35
Benjamin A. Legg,Male,Pacific Northwest National Laboratory,National Lab,,18
Wenjing Liao,Unknown,Georgia Institute of Technology,Unknown,,18
Kun Liu,Unknown,Los Alamos National Laboratory (LANL),National Lab,,156
Andrey Lokhov,Male,Los Alamos National Laboratory,National Lab,,19
Dan Lu,Male,Oak Ridge National Laboratory,National Lab,,86
Niall Mangan,Male,Mathematics Northwestern University,University,Private,19
Chris Marshall,Male,University of Rochester,University,Other,60
C. Michael McGuirk,Unknown,Mines,Unknown,,20
James McIver,Male,Physics Columbia University,University,Ivy League,18
Bernhard Mistlberger,Male,SLAC National Accelerator Laboratory,National Lab,,37
Julia Moriarty,Female,University of Colorado Boulder,University,Other,11
Johanna Nelson Weker,Female,Lightsource SLAC National Accelerator,Unknown,,37
Hyunseok Oh,Unknown,University of Wisconsin-Madison,University,State/Public,20
Elizabeth Paul,Female,Columbia University,University,Ivy League,15
Adam Printz,Male,University of Arizona,University,Other,26
Jin Qian,Female,Lawrence Berkeley National Laboratory,National Lab,,34
Felix Ringer,Male,Old Dominion University,University,Other,37
Annette Rowe,Female,"Cincinnati Cincinnati,",Unknown,,21
Derek Schaeffer,Male,"Astronomy University of California, Los",University,Other,20
Arunima Singh,Unknown,Arizona State University,University,Other,24
Hillary Smith,Female,Astronomy Swarthmore College,University,Other,35
Erin Stache,Female,Princeton University,University,Ivy League,12
Mathew A. Steiner,Male,Engineering University of Cincinnati,University,Other,13
Esther Tsai,Female,"Laboratory Upton, NY",Unknown,,20
Omar Valsson,Male,University of North Texas,University,Other,21
Ying Wang,Unknown,University of Wisconsin-Madison,University,State/Public,78
Cory Windorff,Male,Biochemistry New Mexico State University,University,Other,19
Derong Xu,Unknown,Brookhaven National Laboratory,National Lab,,12
Da Yan,Unknown,University of Alabama at,University,Other,282
Joanna M Zajac,Female,Brookhaven National Laboratory,National Lab,,10
Yu Zhang,Unknown,Los Alamos National Laboratory,National Lab,,109
Youtong Zheng,Unknown,"Boston College,",University,Other,18
Brian Zhou,Male,"Boston College,",University,Other,16
Silvia Zorzeti,Female,Fermi National Accelerator Laboratory,National Lab,,11
Michael Zuerch,Male,"University of California, Berkeley",University,State/Public,112
Daniel Bardayan,Male,Oak Ridge National Laboratory,National Lab,,38
Christian Bauer,Male,Lawrence Berkeley National Laboratory,National Lab,,50
Ivan Bazarov,Male,Cornell University,University,Ivy League,37
Philip Bingham,Male,Oak Ridge National Laboratory,National Lab,,17
Stanislav Boldyrev,Male,University of Wisconsin,University,Other,N/A
Grigory Bronevetsky,Male,Lawrence Livermore National Laboratory,National Lab,,N/A
Martin Centurion,Male,University of Nebraska,University,Other,32
Patrick Yin Chiang,Male,Oregon State University,University,Other,N/A
Luisa Chiesa,Female,Miami University,University,Other,22
Samantha Daly,Female,University of Michigan,University,State/Public,16
Yuantao Ding,Unknown,SLAC National Accelerator Laboratory,National Lab,,N/A
David Erickson,Male,Cornell University,University,Ivy League,68
Amir Farbin,Male,"University of Texas, Arlington",University,Other,N/A
Daniel Fredrickson,Male,University of Wisconsin,University,Other,28
Andrew Gaunt,Male,Los Alamos National Laboratory,National Lab,,N/A
Adrian Gozar,Male,Brookhaven National Laboratory,National Lab,,25
William Gustafson,Male,Pacific Northwest National Laboratory,National Lab,,35
Valerie Halyo,Female,University of Colorado,University,Other,N/A
Michael Hermele,Male,University of Colorado,University,Other,37
Patrick Huber,Male,Virginia Polytechnic Institute and State University,University,Other,65
Christiane Jablonowski,Female,University of Michigan,University,State/Public,35
Arthi Jayaraman,Unknown,University of Colorado,University,Other,38
Rubin Juanes,Male,University of Maryland,University,Other,66
Matias Kirst,Male,University of Florida,University,State/Public,47
John Kitchin,Male,Carnegie Mellon University,University,Other,46
Michael Kohl,Male,Hampton University,University,Other,110
Matthew Law,Male,"University of California, Irvine",University,Other,103
Rupak Mahapatra,Unknown,Texas A&M University,University,Other,75
Alysia Marino,Female,University of Colorado,University,Other,68
Christina Markert,Female,University of Texas at Austin,University,State/Public,22
Youssef Marzouk,Male,Los Alamos National Laboratory,National Lab,,45
Christopher Mauger,Male,Los Alamos National Laboratory,National Lab,,N/A
